Column1,Time,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/6460,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/WR/2024/11/01/4200,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/01/4863,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06)
1,00:00-00:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,40,16.33,14.83,10.4,0,40,0,0,0,0,0,0,0,0,0,0,0,14.83,44.51,0

2,00:15-00:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,39.66,16,14.67,10.2,0,39.67,0,0,0,0,0,0,0,0,0,0,0,14.67,43.99,0

3,00:30-00:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,39.34,16,14.5,10.2,0,39.33,0,0,0,0,0,0,0,0,0,0,0,14.5,43.5,0

4,00:45-01:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,40,15.33,14.17,10,0,40,0,0,0,0,0,0,0,0,0,0,0,14.17,42.49,0

5,01:00-01:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,39.66,12.33,14,10,0,39.67,0,0,0,0,0,0,0,0,0,0,0,14,42,0

6,01:15-01:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,38.66,12.33,13.83,9.6,0,38.67,0,0,0,0,0,0,0,0,0,0,0,13.83,41.51,0

7,01:30-01:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0,26.99,1.3,0,37.66,12.33,13.67,9.4,0,37.67,0,0,0,0,0,0,0,0,0,0,0,13.67,40.99,0

8,01:45-02:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0,26.99,1.3,0,37.34,12,13.5,9.2,0,37.33,0,0,0,0,0,0,0,0,0,0,0,13.5,40.5,0

9,02:00-02:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,30,12,13.17,9,0,30,0,0,0,0,0,0,0,0,0,0,0,13.17,39.49,0

10,02:15-02:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,30,12,13.17,8.8,0,30,0,0,0,0,0,0,0,0,0,0,0,13.17,39.49,0

11,02:30-02:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,30,12,11.33,8.2,0,30,0,0,0,0,0,0,0,0,0,0,0,11.33,34.01,0

12,02:45-03:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,30,12,11.33,7.6,0,30,0,0,0,0,0,0,0,0,0,0,0,11.33,34.01,0

13,03:00-03:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,30,11.67,11.33,7,0,30,0,0,0,0,0,0,0,0,0,0,0,11.33,34.01,0

14,03:15-03:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,29.66,11.67,11.17,7,0,29.67,0,0,0,0,0,0,0,0,0,0,0,11.17,33.49,0

15,03:30-03:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0,26.99,1.3,0,33.34,7.33,11.17,7,0,33.33,0,0,0,0,0,0,0,0,0,0,0,11.17,33.49,0

