Block,Time,L_NR_2019_07,L_NR_2022_09,NR/30092023/31122025/SH-07,L_NR_2022_10,L_NR_2019_06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2022_08,L_NR_2020_06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,L_NR_2019_05,L_NR_2020_05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,L_NR_2020_07
1,00:00-00:15,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.610000,0,0,71.530000,271.860000,0.000000,0

2,00:15-00:30,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.610000,0,0,71.530000,271.860000,0.000000,0

3,00:30-00:45,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.610000,0,0,71.530000,271.860000,0.000000,0

4,00:45-01:00,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.610000,0,0,71.530000,271.860000,0.000000,0

5,01:00-01:15,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

6,01:15-01:30,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

7,01:30-01:45,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

8,01:45-02:00,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,5.060000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

9,02:00-02:15,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

10,02:15-02:30,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

11,02:30-02:45,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

12,02:45-03:00,0,0,30.930000,0,0,31.900000,4.650000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.460000,0,0,71.530000,271.860000,0.000000,0

13,03:00-03:15,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

14,03:15-03:30,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

15,03:30-03:45,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

16,03:45-04:00,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.900000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

17,04:00-04:15,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

18,04:15-04:30,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

19,04:30-04:45,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

20,04:45-05:00,0,0,30.930000,0,0,31.900000,4.550000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.300000,0,0,71.530000,271.860000,0.000000,0

21,05:00-05:15,0,0,30.930000,0,0,31.900000,4.470000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.150000,0,0,71.530000,271.860000,0.000000,0

22,05:15-05:30,0,0,30.930000,0,0,31.900000,4.470000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.150000,0,0,71.530000,271.860000,0.000000,0

23,05:30-05:45,0,0,30.930000,0,0,31.900000,4.470000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.150000,0,0,71.530000,271.860000,0.000000,0

24,05:45-06:00,0,0,30.930000,0,0,31.900000,4.470000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.150000,0,0,71.530000,271.860000,0.000000,0

25,06:00-06:15,1.05,0,30.930000,0,0,31.900000,4.470000,118.310000,101.240000,0,0,238.030000,4.670000,0,0.000000,0.000000,0.000000,30.930000,4.150000,0,0,71.530000,271.860000,0.000000,0

26,06:15-06:30,2.18,0,30.930000,0,0,31.900000,4.470000,96.660000,101.240000,0,0,238.030000,4.670000,4.102224,0.010000,0.000000,0.010000,30.930000,4.150000,0,0,71.530000,271.860000,0.010000,0

27,06:30-06:45,5.81,0,30.930000,0,0,31.900000,4.470000,96.660000,101.240000,0,0,238.030000,4.670000,14.430864,0.160000,0.000000,0.150000,30.930000,4.150000,0,0,71.530000,271.860000,0.150000,0

28,06:45-07:00,10.89,0,30.930000,0,0,31.900000,4.470000,96.660000,101.240000,0,0,238.030000,4.670000,24.36,0.560000,0.000000,0.540000,30.930000,4.150000,0,0,71.530000,271.860000,0.540000,0

29,07:00-07:15,15.97,0,18.740000,0,0,31.900000,4.470000,96.660000,101.240000,0,0,238.030000,4.670000,34.142976,1.220000,0.000000,1.190000,30.930000,4.150000,0,0,71.530000,271.860000,1.190000,0

30,07:15-07:30,21.68,0,18.740000,0,0,30.930000,4.470000,96.660000,101.240000,0,0,238.030000,4.670000,45.26088,2.060000,0.000000,2.020000,30.930000,4.150000,0,0,71.530000,271.860000,2.020000,0

31,07:30-07:45,22.18,0,17.780000,0,0,30.930000,4.470000,96.660000,101.240000,0,0,238.030000,4.670000,57.236256,3.110000,0.000000,3.040000,30.930000,4.150000,0,0,71.530000,271.860000,3.040000,0

