Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/26072023/31072042/L_NR_2023_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2020_06,NR/20122023/29022024/IEX_LDC_231218_00502,NR/30012024/30012024/HPX-TAMCTG-290124-05966,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,NR/30092023/31122025/SH-07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/06012024/31012024/NVVN/OA/16855,NR/26072023/25122043/L_NR_2023_10,NR/05012024/31012024/SJVN050124NR1342,NR/30012024/30012024/IEX_240129_06224,WR/01102023/31032046/L_NR_2020_05,NR/05012024/31012024/SJVN050124NR1341,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30012024/30012024/IEX_240129_06228,NR/01012024/31012024/HP-26,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/31052040/LT-31,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01012024/31012024/HP-27,WR/01102023/16072048/L_NR_2022_08,NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2022_09,NR/01012024/31012024/52,NR/01012024/31032024/ ChanjuII,NR/01102023/22052037/LT-59,NR/01102023/08032047/L_NR_2021_14,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31012024/HP-28,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,0.950000,0,0.000000,9.38,11.540000,0.000000,0,0,25.750000,0,0,0,48.100000,0,0,0.000000,28.14,0,0.000000,0.000000,152.460000,25.64,0,118.330000,0.000000,6.730000,25.750000,8.180000,0.000000,0,0,57.290000,8.36,65.980000,9.38,20.37,53.870000,48.100000,23.090000,25.64,0.000000,1.380000,0.650000,0,39.440000,24.520000,18.280000,5.770000,230.880000,0,1.340000,0,0

2,00:15-00:30,0.950000,0,0.000000,9.34,11.540000,0.000000,0,0,25.750000,0,0,0,48.100000,0,0,0.000000,28,0,0.000000,0.000000,152.460000,25.67,0,118.330000,0.000000,6.730000,25.750000,8.180000,0.000000,0,0,57.290000,8.39,65.980000,9.33,18.78,53.870000,48.100000,23.090000,25.67,0.000000,1.380000,0.650000,0,39.440000,24.520000,18.280000,5.770000,192.400000,0,1.340000,0,0

3,00:30-00:45,0.950000,0,0.000000,9.5,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,28.5,0,0.000000,0.000000,152.460000,25.75,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,8.4,58.440000,9.5,17.86,53.870000,48.100000,23.090000,25.75,0.000000,1.380000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

4,00:45-01:00,0.950000,0,0.000000,14.11,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,42.34,0,0.000000,0.000000,152.460000,30.11,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,10.55,70.130000,14.11,17.26,53.870000,48.100000,23.090000,30.11,0.000000,1.380000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

5,01:00-01:15,0.950000,0,0.000000,14.63,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,43.89,0,0.000000,0.000000,152.460000,29.8,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,11.21,70.130000,14.63,16.43,53.870000,48.100000,23.090000,29.8,0.000000,1.290000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

6,01:15-01:30,0.950000,0,0.000000,14.76,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,44.3,0,0.000000,0.000000,152.460000,29.19,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,11.88,70.130000,14.77,14.69,53.870000,48.100000,23.090000,29.19,0.000000,1.290000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

7,01:30-01:45,0.950000,0,0.000000,15,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,45.01,0,0.000000,0.000000,152.460000,28.65,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,12.56,70.130000,15,13.46,53.870000,48.100000,23.090000,28.65,0.000000,1.290000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

8,01:45-02:00,0.950000,0,0.000000,15.82,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,47.46,0,0.000000,0.000000,152.460000,27.98,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,13.22,70.130000,15.82,13.07,53.870000,48.100000,23.090000,27.98,0.000000,1.290000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

9,02:00-02:15,0.950000,0,0.000000,13.14,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,39.4,0,0.000000,0.000000,152.460000,23.51,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,13.85,70.130000,13.13,11.2,53.870000,48.100000,23.090000,23.51,0.000000,1.290000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

10,02:15-02:30,0.950000,0,0.000000,13.43,11.540000,0.000000,0,0,25.760000,0,0,0,48.100000,0,0,0.000000,40.32,0,0.000000,0.000000,152.460000,23.44,0,118.330000,0.000000,6.730000,25.760000,8.180000,0.000000,0,0,57.290000,14.51,70.130000,13.44,11.12,53.870000,48.100000,23.090000,23.44,0.000000,1.290000,0.650000,0,39.440000,24.520000,18.280000,5.770000,148.800000,0,1.340000,0,0

