Column1,Time,GNA/NR/2024/11/01/1868,GNA/WR/2024/10/15/7089,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/3646,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5474,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,8.65,0,131.81,25.94,25.94,0,1.91,0,0,0,0,9,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

2,00:15-00:30,8.65,0,112.4,25.94,25.94,0,1.91,0,0,0,0,9.2,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

3,00:30-00:45,8.65,0,112.4,25.94,25.94,0,1.91,0,0,0,0,9.6,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

4,00:45-01:00,8.65,0,93.19,25.94,25.94,0,1.91,0,0,0,0,9.8,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

5,01:00-01:15,8.65,0,74.7,25.94,25.94,0,1.91,0,0,0,0,13,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

6,01:15-01:30,8.65,0,74.7,25.94,25.94,0,1.91,0,0,0,0,13,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

7,01:30-01:45,8.65,0,74.7,25.94,25.94,0,1.91,0,0,0,0,13.2,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

8,01:45-02:00,8.65,0,74.7,25.94,25.94,0,1.91,0,0,0,0,13.4,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,26.24,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

9,02:00-02:15,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,10,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

10,02:15-02:30,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,10.4,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

11,02:30-02:45,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,10.4,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,139.3,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

12,02:45-03:00,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,10.6,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.81,2.48,0,63.42,0,129.69,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

13,03:00-03:15,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,10.8,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,129.69,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

14,03:15-03:30,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,11,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,129.69,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

15,03:30-03:45,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,11,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,129.69,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

16,03:45-04:00,8.65,0,74.7,25.94,25.94,0,1.83,0,0,0,0,10,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,139.3,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

17,04:00-04:15,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,9,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

18,04:15-04:30,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,9,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

19,04:30-04:45,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,12.01,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

20,04:45-05:00,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,12.01,57.35,1.39,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

21,05:00-05:15,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,15.01,57.35,1.32,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

22,05:15-05:30,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,15.01,57.35,1.32,52.84,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

23,05:30-05:45,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,15.81,57.35,1.32,67.25,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

24,05:45-06:00,8.65,0,74.7,25.94,25.94,0,1.76,0,0,0,0,15.61,57.35,1.32,67.25,0,0,17.29,8.65,70.04,1.76,2.48,0,63.42,0,170.66,25.23,0,25.94,190.26,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

25,06:00-06:15,8.65,0,93.19,25.94,25.94,0,1.68,0.01,0,0.91,0,15.41,57.35,1.32,100.09,0,0,17.29,8.65,65.9,1.76,2.38,0,0,0,205.16,25.23,0,25.94,0,13.67,0,7,0,13.66,0,0,21,6.66,0,0,7,0,0

26,06:15-06:30,8.65,0,112.4,25.94,25.94,0,1.68,3.96,0,1.47,0,15.01,57.35,1.32,100.09,0,0,17.29,8.65,65.9,1.76,2.38,0,0,0,205.16,25.23,0,25.94,0,13.67,0,7,0,13.66,0,2,21,6.66,0,0,7,0,0

27,06:30-06:45,8.65,0,131.81,25.94,25.94,0,1.68,10.35,0,3,0,20.01,67.76,1.32,100.09,0,0,17.29,8.65,65.9,1.76,2.38,0.11,0,0.11,205.16,25.23,0.11,25.94,0,13.67,0,7,0,13.66,0.01,7,21,6.66,0,0,7,0,0

28,06:45-07:00,8.65,0,131.81,25.94,25.94,0,1.68,17.25,0.04,9.58,0.19,20.01,86.66,1.32,100.09,0,0,17.29,8.65,65.9,1.76,2.38,0.23,0,0.22,260.83,24.22,0.22,25.94,0,13.67,0,7,0,13.66,0.19,11,21,6.66,0,0,7,0,0

29,07:00-07:15,8.65,0,131.81,31.7,31.7,0,1.68,26.88,0.21,19.28,7.26,22.01,86.66,1.24,100.09,0,0,17.29,8.65,65.9,1.76,2.38,0.55,0,0.53,260.83,24.22,0.53,31.7,0,13.67,0,7,1,13.66,1.03,16,21,6.66,1,1,7,0,2

30,07:15-07:30,8.65,0,131.81,31.7,31.7,0,1.68,30.85,1.02,30.84,15.16,22.01,86.66,1.24,100.09,0,0,17.29,8.65,65.9,1.76,2.38,0.95,0,0.92,260.83,24.22,0.92,31.7,0,13.67,1,7,2,13.66,5.12,22,21,6.66,4,2,7,1,5

