Block,Time,SINGRAULI_HYDRO,AURY_GF,RAMPUR,SALAL,CHAMERA2,TANAKPUR,AURY_LF,DULHASTI,SINGRAULI,KOLDAM,KISHANGANGA,DADRI_RF,TANDA2,RAPPC,AURY_RF,RAPPB,AURY_CRF,KHSTPP-I,SASAN,BRBCL,TALA,FSTPP I & II,KHSTPP-II,ANTA_GF,URI2,DADRT2,UNCHAHAR2,NJPC,RIHAND3,TEHRI,CHAMERA1,BSIUL,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,DADRI_GF,ANTA_LF,URI,NAPP,DADRI_LF,CHAMERA3,RIHAND2,JHAJJAR,KOTESHWR,DHAULIGNGA,ANTA_RF,RIHAND1,PARBATI3,ANTA_CRF,DADRI_CRF,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,51.688084,12.735429,6.069762,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,18.504673,0.000000,20.045910,142.401290,0.000000,26.016168,656.776730,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,39.500016,40.174208,0.000000,9.358471,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,76.756805,12.735429,6.069762,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,18.922751,0.000000,20.045910,142.401290,0.000000,26.016168,656.776730,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,39.500016,40.174208,0.000000,9.358471,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,67.419240,12.735429,6.069762,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,18.154297,0.000000,20.045910,142.401290,0.000000,26.016168,656.776730,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,33.094608,40.174208,0.000000,9.358471,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,67.419240,12.735429,6.069762,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,16.135136,0.000000,20.045910,142.401290,0.000000,26.016168,656.776730,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,33.094608,40.174208,0.000000,9.358471,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,67.419240,12.735429,6.069762,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,15.755143,0.000000,20.045910,142.401290,0.000000,26.016168,656.776730,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,33.094608,40.174208,0.000000,9.358471,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,67.419240,12.735429,6.069762,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,14.403893,0.000000,20.045910,142.401290,0.000000,26.016168,620.048620,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,33.094608,40.174208,0.000000,0.000000,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,67.419240,12.735429,0.247745,0.000000,15.935050,134.712770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.867910,404.950590,16.412061,0.000000,20.045910,142.401290,0.000000,26.016168,624.883620,40.991227,0.000000,119.584659,0.000000,0.000000,0.000000,10.549970,25.519227,0.000000,0.000000,0.000000,33.094608,40.174208,0.000000,0.000000,57.111020,631.112550,8.581158,0.000000,0.000000,79.294000,0.000000,0.000000,0.000000,15.282514,0,0,0,0,0

