Block,Time,DHAULIGNGA,NLCEXP,PARBATI3,SINGRAULI,UNCHAHAR2,DADRI_GF,CHAMERA2,DADRT2,KHSTPP-II,KOTESHWR,NTPL,RAPPB,RIHAND2,RSTPSU1TO6,RSTPSU7,SIMHST2,UNCHAHAR1,URI,ANTA_CRF,AURY_GF,DADRI_LF,CHAMERA3,NLCIIST2,SALAL,TALA,TALST2,TANDA2,UNCHAHAR3,AURY_RF,DADRI_RF,FSTPP I & II,KHSTPP-I,NLCIIST1,RAPPC,RIHAND1,TEHRIPSP,UNCHAHAR4,VALLURNTECL,ANTA_LF,ANTA_RF,AURY_CRF,DADRI_CRF,DULHASTI,NJPC,NNTPP,TEHRI,TelanganaSTPP,KGSU3AND4,KKNP,KUDGI,PARBATI2,RAPPD,RIHAND3,SASAN,SINGRAULI_HYDRO,ANTA_GF,AURY_LF,BRBCL,BSIUL,CHAMERA1,KGSU1AND2,MAPS,NLCTS2EXP,RAMPUR,SEWA2,SIMHST1,JHAJJAR,KISHANGANGA,KKNPPU2,KOLDAM,NAPP,TANAKPUR,URI2
1,00:00-00:15,42.46,0,0,113.75,44.52,0,47.12,689.39,98.87,40.58,0,0,125.27,0,0,0,21.65,24.29,0,0,0,33.95,0,0,25.04,0,3.13,27.38,81.57,106.06,19.46,45.83,0,65.43,48.09,0,1.53,0,0,52.09,0,0,38.32,0,0,76.19,0,0,0,0,49.27,33.7,130.84,418.77,0,0,0,24.99,0,42.15,0,0,0,0,9.29,0,667.27,6.97,0,8.63,24.23,13.11,37.41

2,00:15-00:30,42.46,0,0,113.75,44.52,0,47.12,689.39,98.87,40.58,0,0,125.27,0,0,0,21.65,24.29,0,0,0,33.95,0,0,25.04,0,3.13,27.38,81.57,106.06,19.46,45.83,0,65.43,48.09,0,1.53,0,0,52.09,0,0,38.32,0,0,76.19,0,0,0,0,49.27,33.7,130.84,418.77,0,0,0,24.99,0,42.15,0,0,0,0,9.29,0,667.27,6.97,0,8.63,24.23,13.11,37.41

3,00:30-00:45,42.46,0,0,113.75,44.52,0,47.12,689.39,98.87,40.58,0,0,125.27,0,0,0,21.65,24.29,0,0,0,33.95,0,0,25.04,0,3.13,27.38,81.57,106.06,19.46,45.83,0,65.43,48.09,0,1.53,0,0,52.09,0,0,38.32,0,0,76.19,0,0,0,0,49.27,33.7,130.84,418.77,0,0,0,24.99,0,42.15,0,0,0,0,9.29,0,667.27,6.97,0,8.63,24.23,13.11,37.41

4,00:45-01:00,42.46,0,0,113.75,44.52,0,47.12,689.39,98.87,40.58,0,0,125.27,0,0,0,21.65,24.29,0,0,0,33.95,0,0,25.04,0,3.13,27.38,81.57,106.06,19.46,45.83,0,65.43,48.09,0,1.53,0,0,52.09,0,0,38.32,0,0,76.19,0,0,0,0,49.27,33.7,130.84,418.77,0,0,0,24.99,0,42.15,0,0,0,0,9.29,0,667.27,6.97,0,8.63,24.23,13.11,37.41

5,01:00-01:15,42.46,0,0,113.75,44.52,0,47.12,689.39,98.87,40.58,0,0,125.27,0,0,0,21.65,28.71,0,0,0,33.95,0,0,25.04,0,5.73,27.38,81.57,106.06,19.46,45.83,0,65.43,48.09,0,3.23,0,0,52.34,0,0,38.32,0,0,76.19,0,0,0,0,49.27,33.7,130.84,418.77,0,0,0,24.99,0,42.15,0,0,0,0,9.29,0,667.27,6.97,0,8.63,24.23,13.11,37.41

