Block,Time,CHAMERA3,KKNPPU2,NNTPP,RSTPSU1TO6,TANAKPUR,TANDA2,TelanganaSTPP,UNCHAHAR1,DADRI_GF,DADRI_RF,BRBCL,SASAN,ANTA_GF,AURY_GF,AURY_LF,DADRI_CRF,BSIUL,DHAULIGNGA,KISHANGANGA,PARBATI3,RAPPB,TALST2,VALLURNTECL,AURY_CRF,CHAMERA1,KGSU1AND2,KHSTPP-I,KOLDAM,MAPS,SINGRAULI_HYDRO,TALA,UNCHAHAR3,ANTA_LF,ANTA_RF,KKNP,NLCIIST1,NLCTS2EXP,NTPL,RIHAND1,SIMHST2,URI2,DADRI_LF,JHAJJAR,KGSU3AND4,KHSTPP-II,RAMPUR,SEWA2,UNCHAHAR2,URI,ANTA_CRF,CHAMERA2,DULHASTI,KOTESHWR,KUDGI,NLCEXP,NLCIIST2,RAPPC,RIHAND3,RSTPSU7,SALAL,SINGRAULI,UNCHAHAR4,DADRT2,FSTPP I & II,NAPP,NJPC,RIHAND2,SIMHST1,TEHRI,AURY_RF
1,00:00-00:15,0,0,0,0,11.91,0,0,20.56,0,66.85,14.99,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,39.19,0,2.4,32.96,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

2,00:15-00:30,0,0,0,0,11.91,0,0,20.56,0,66.85,14.99,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,39.19,0,2.4,32.96,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

3,00:30-00:45,0,0,0,0,6.4,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

4,00:45-01:00,0,0,0,0,6.4,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

5,01:00-01:15,0,0,0,0,6.4,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,13.95,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

6,01:15-01:30,0,0,0,0,6.4,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,79.38,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

7,01:30-01:45,0,0,0,0,11.91,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,79.38,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

8,01:45-02:00,0,0,0,0,11.91,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,79.38,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

9,02:00-02:15,0,0,0,0,11.91,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,79.38,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

10,02:15-02:30,0,0,0,0,5.76,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,13.95,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

11,02:30-02:45,0,0,0,0,5.76,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

12,02:45-03:00,0,0,0,0,5.76,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

13,03:00-03:15,0,0,0,0,5.76,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

14,03:15-03:30,0,0,0,0,5.76,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

15,03:30-03:45,0,0,0,0,5.76,0,0,20.56,0,66.85,15,418.77,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,44.92,0,0,0,0,26.39,0,42.74,0,0,0,0,92,0,4.57,21.92,654.31,0,148.3,0,0,42.4,1.66,0,2.4,16.48,8.87,0,0,0,52.03,124.32,0,2.33,104.16,0,341.57,18.21,42.18,0,118.76,0,14.93,70.16

