Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/02/1250,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,GNA/WR/2025/01/01/8625,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/3945,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/6775,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3514,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,0,0,0,0,0,11.61,0,0,61.01,20.33,0,0,51.67,0,51.66,0,0,20.33,17,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,57.35,65

2,00:15-00:30,0,0,0,0,0,0,11.21,0,0,58.5,19.5,0,0,53.33,0,53.34,0,0,19.5,16.33,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,57.35,65

3,00:30-00:45,0,0,0,0,0,0,10.8,0,0,57.49,19.17,0,0,53,0,53,0,0,19.17,15.67,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

4,00:45-01:00,0,0,0,0,0,0,10.2,0,0,56.51,18.83,0,0,52,0,52,0,0,18.83,15,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

5,01:00-01:15,0,0,0,0,0,0,7,0,0,41.51,13.83,0,0,31.33,0,31.34,0,0,13.83,11.33,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

6,01:15-01:30,0,0,0,0,0,0,7,0,0,39.49,13.17,0,0,31.67,0,31.66,0,0,13.17,11,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

7,01:30-01:45,0,0,0,0,0,0,7,0,0,37.5,12.5,0,0,32,0,32,0,0,12.5,10.67,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

8,01:45-02:00,0,0,0,0,0,0,7,0,0,35.51,11.83,0,0,32,0,32,0,0,11.83,10.33,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

9,02:00-02:15,0,0,0,0,0,0,7,0,0,34.01,11.33,0,0,38,0,38,0,0,11.33,10,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.55,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

10,02:15-02:30,0,0,0,0,0,0,7,0,0,34.01,11.33,0,0,38.33,0,38.34,0,0,11.33,10,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.55,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

11,02:30-02:45,0,0,0,0,0,0,7,0,0,46.5,15.5,0,0,38.67,0,38.66,0,0,15.5,13.33,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.55,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

12,02:45-03:00,0,0,0,0,0,0,7,0,0,47.51,15.83,0,0,39.33,0,39.34,0,0,15.83,13,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.55,1.56,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

13,03:00-03:15,0,0,0,0,0,0,7,0,0,61.01,20.33,0,0,35.67,0,35.66,0,0,20.33,16.67,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.52,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

14,03:15-03:30,0,0,0,0,0,0,7.2,0,0,61.99,20.67,0,0,35,0,35,0,0,20.67,17,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.52,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

15,03:30-03:45,0,0,0,0,0,0,7.4,0,0,62.51,20.83,0,0,35.33,0,35.34,0,0,20.83,17.33,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.52,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

16,03:45-04:00,0,0,0,0,0,0,7.6,0,0,63,21,0,0,36,0,36,0,0,21,17.67,0,0,47.8,47.8,59.1,69.71,0,0,28.68,20.07,25.81,26.77,47.8,1.64,1.52,25.81,0,25.81,0,8.6,19.12,0,0,0,1.06,0,0,52.57,65

