Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/1868,NR/01102023/25072045/L_NR_2021_15,GNA/NR/2024/11/01/5474,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/4503,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,GNA/WR/2024/10/15/7089,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,8,0,0,132.94,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,175.46,100.09,0,0,1.39,0,25.74

2,00:15-00:30,8,0,0,124.89,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,169.7,100.09,0,0,1.39,0,25.74

3,00:30-00:45,8.2,0,0,124.89,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,169.7,100.09,0,0,1.39,0,25.74

4,00:45-01:00,8.4,0,0,115.28,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,169.7,100.09,0,0,1.39,0,25.74

5,01:00-01:15,8.6,0,0,96.07,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,169.7,100.09,0,0,1.39,0,25.74

6,01:15-01:30,9,0,0,96.07,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,169.7,100.09,0,0,1.39,0,25.74

7,01:30-01:45,7,0,0,86.46,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,178.34,100.09,0,0,1.39,0,25.74

8,01:45-02:00,7,0,0,74.7,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,187.95,100.09,0,0,1.39,0,25.23

9,02:00-02:15,7,0,0,74.7,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,173.68,100.09,0,0,1.39,0,25.23

10,02:15-02:30,7,0,0,74.7,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,169.03,100.09,0,0,1.39,0,25.23

11,02:30-02:45,7,0,0,74.7,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,167.03,100.09,0,0,1.39,0,25.23

12,02:45-03:00,7,0,0,74.7,8.65,0,142.69,0,6.67,0,0,0,0,0,0,6.67,13.34,19.99,13.33,0,6.67,0,0,70.04,25.94,25.94,25.94,17.29,47.56,8.65,2.48,0,1.81,1.53,0,0,57.35,120.34,100.09,0,0,1.39,0,25.23

