Block,Time,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/04042024/30042024/SJVN040424NR1694,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/01042024/30042024/PTC/OA/32001,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05
1,00:00-00:15,0,17.34,0,0,0,0,0,0,80,46,0,0,26.67,0,10.2,0,46,26.66,0,0,30.860000,0.000000,40.980000,0.000000,2.990000,2.510000,30.280000,2.950000,100.460000,7.640000,272.660000,261.810000,16.080000,0.000000,30.380000,0.000000,0.000000,86.980000,115.280000

2,00:15-00:30,0,17.34,0,0,0,0,0,0,80,46.33,0,0,26.67,0,9.81,0,46.33,26.66,0,0,30.860000,0.000000,40.980000,0.000000,2.990000,2.510000,30.280000,2.950000,100.460000,7.640000,272.660000,261.810000,16.080000,0.000000,30.380000,0.000000,0.000000,86.980000,115.280000

3,00:30-00:45,0,17.34,0,0,0,0,0,0,80,46.33,0,0,26.67,0,9.61,0,46.33,26.66,0,0,0.000000,0.000000,40.980000,0.000000,2.990000,2.510000,30.280000,2.950000,100.460000,7.640000,272.660000,261.810000,16.080000,0.000000,30.380000,0.000000,0.000000,86.980000,115.280000

4,00:45-01:00,0,23.34,0,0,0,0,0,0,93.5,52.33,0,0,31.17,0,9.21,0,52.33,31.16,0,0,0.000000,0.000000,40.980000,0.000000,2.990000,2.510000,30.280000,2.950000,100.460000,7.640000,272.660000,261.810000,16.080000,0.000000,0.000000,0.000000,0.000000,86.980000,115.280000

5,01:00-01:15,0,22.66,0,0,0,0,0,0,92.5,51.67,0,0,30.83,0,9.01,0,51.67,30.84,0,0,22.500000,0.000000,40.980000,0.000000,2.990000,2.510000,30.280000,2.950000,100.460000,7.640000,272.660000,261.810000,16.080000,0.000000,22.500000,0.000000,0.000000,86.980000,115.280000

