Block,Time,KKNP,KKNPPU2,KOTESHWR,TEHRI,VALLURNTECL,BRBCL,KHSTPP-II,MAPS,RIHAND3,UNCHAHAR1,CHAMERA2,CHAMERA3,DADRT2,KGSU1AND2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,UNCHAHAR3,DHAULIGNGA,FSTPP I & II,RAPPD,SIMHST1,TANDA2,UNCHAHAR4,URI,ANTA_CRF,ANTA_GF,AURY_GF,DULHASTI,KHSTPP-I,KUDGI,RIHAND1,RIHAND2,ANTA_RF,AURY_CRF,AURY_LF,BSIUL,KGSU3AND4,KISHANGANGA,NAPP,NJPC,PARBATI2,RAMPUR,RAPPB,RSTPSU7,SASAN,SINGRAULI_HYDRO,TANAKPUR,ANTA_LF,DADRI_CRF,DADRI_GF,DADRI_LF,JHAJJAR,NLCIIST1,RAPPC,SINGRAULI,AURY_RF,CHAMERA1,KOLDAM,NLCIIST2,NTPL,PARBATI3,RSTPSU1TO6,SALAL,SEWA2,TALA,TALST2,TelanganaSTPP,UNCHAHAR2,URI2,DADRI_RF
1,00:00-00:15,0,0,10.44,29.2,0,20,148.3,0,92.37,21.83,48.9,23.37,534.18,0,0,0,0,0,27.99,21.95,20.8,27.32,0,3.07,2.42,51.89,0,0,0,58.79,45.83,0,64.81,96.8,49.95,0,0,6.52,0,5.81,23.57,144.71,22.62,5.8,0,0,407.81,1.17,2.44,0,0,0,0,327.23,0,68.73,155.58,80.92,25.28,3.91,0,0,38.42,0,66.82,12.62,9.11,0,0,45.12,38.16,102.02

2,00:15-00:30,0,0,10.44,29.2,0,20,148.3,0,92.37,21.83,48.9,23.37,575.85,0,0,0,0,0,27.99,21.95,20.8,27.32,0,3.07,2.42,51.89,0,0,0,58.79,45.83,0,64.81,96.8,49.95,0,0,6.52,0,5.81,23.57,144.71,22.62,5.8,0,0,407.81,1.17,2.44,0,0,0,0,327.23,0,68.73,155.58,80.92,25.28,3.91,0,0,38.42,0,66.82,6.31,9.11,0,0,45.12,38.16,102.02

3,00:30-00:45,0,0,10.44,29.2,0,20,148.3,0,92.37,21.83,48.9,23.37,575.85,0,0,0,0,0,27.99,10.97,20.8,27.32,0,3.07,2.42,51.89,0,0,0,58.79,45.83,0,64.81,96.8,49.95,0,0,6.52,0,5.81,23.57,144.71,22.62,5.8,0,0,407.81,1.17,2.44,0,0,0,0,327.23,0,68.73,155.58,80.92,25.28,3.91,0,0,23.05,0,66.82,6.31,7.79,0,0,45.12,38.16,102.02

4,00:45-01:00,0,0,10.44,29.2,0,20,148.3,0,92.37,21.83,48.9,23.37,575.85,0,0,0,0,0,27.99,10.97,20.8,27.32,0,3.07,2.42,51.89,0,0,0,58.79,45.83,0,64.81,96.8,49.95,0,0,6.52,0,5.81,23.57,138.42,22.62,5.55,0,0,407.81,1.17,2.44,0,0,0,0,327.23,0,68.73,155.58,80.92,25.28,3.91,0,0,23.05,0,66.82,6.31,7.79,0,0,45.12,38.16,102.02

5,01:00-01:15,0,0,10.44,29.2,0,20,148.3,0,92.37,21.83,48.9,23.37,575.85,0,0,0,0,0,27.99,10.97,20.8,27.32,0,3.07,2.42,51.89,0,0,0,58.79,45.83,0,64.81,96.8,51.27,0,0,6.52,0,8.71,23.57,110.82,22.62,4.44,0,0,407.81,1.17,2.44,0,0,0,0,327.23,0,68.73,155.58,80.92,25.28,3.91,0,0,23.05,0,66.82,6.31,7.79,0,0,45.12,38.16,102.02

