Column1,Block,NR/2024/22898/A/35775,NR/2024/22899/A/35774,NR/2024/23003/C,NR/2024/22995/C,NR/2024/22839/A/35990,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,NR/30092023/31122025/SH-07,NR/2024/22872/A/35762,NR/2024/22874/A/35995,NR/2024/21658/A/35726,NR/2024/22993/C,NR/2024/22888/A/36002,NR/2024/22860/A/36008,NR/2024/22835/A/36035,NR/2024/22996/C,NR/2024/22820/A/35720,NR/2024/22997/C,NR/2024/22832/A/35993,NR/2024/22833/A/35992,NR/2024/22754/A/35963,NR/2024/22848/A/36010,NR/2024/22734/A/35979,NR/2024/22837/A/35991,NR/2024/22816/A/35735,NR/2024/22802/A/35994,NR/2024/22753/A/35962,Total
,,SJVNL,SJVNL,SJVNL,NVVNL,NVVNL,PUNJAB,NVVNL,DELHI,AEL,INSTINCT,JITPL,TPTCL,DELHI,TPTCL,MANIKARAN,APPCPL,MANIKARAN,BAWANA_GAS,DIAPL,NVVNL,ITCLH,TPDDL,APPCPL,APPCPL,MANIKARAN,NVVNL,IEXL,NVVNL,NVVNL,NVVNL,PTC,APPCPL,TPDDL,NVVNL,TPTCL,NVVNL,PTC,
,,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,ODISHA_STATE,Arunachal_State,MP_State,DELHI_UT,HIMACHAL_STATE,MP_State,ANDHRA_PRADESH_STATE,NA,KERALA_State,Nagaland_State,MSEB_State,NA,KARNATAKA_STATE,NA,NA,NA,HIMACHAL_STATE,UTTARAKHAND_STATE,NA,NA,NA,NA,HIMACHAL_STATE,
,,RSRPL_BKN,TPSL_BKN2,TPSL_BKN2,SOLAPUR_SOLAR,TRN_ENERGY,BAWANA_GAS,JPNIGRIE_JNSTPP,SKS_Raigarh,APL_Raigarh_TPP,JPL2,JITPL,JITPL,CHANJUII,SIMHAPURI,MAADURGA_THERMAL,Arunachal_Ben,BLAPOWER_MP,BAWANA_GAS,GBHHPL,JP_BINA,ITCWIND,JHAJJAR,KSEB,Nagaland_Ben,AEML,SORANG_HEP,NSLSUGAR,Kameng,RKM_POWER,RKM_POWER,HP,UTTARAKHAND,JPL2,JPL2,SIMHAPURI,JPNIGRIE_JNSTPP,HP,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,MES_Delhi,NDMC,PUNJAB,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,HARYANA,DIAPL,TPDDL,ITCLH,TPDDL,BYPL,BYPL,BYPL,TPDDL,MES_Delhi,TPDDL,NDMC,NDMC,BYPL,BYPL,TPDDL,NDMC,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,East-North,East-North,North-North,South-East-North,East-North,North East-East-North,West-North,North-North,North-North,West-North,South-West-North,North-North,South-West-North,North East-East-North,West-North,North-North,South-West-North,North East-East-North,West-North,West-North,North-North,North-North,West-North,West-North,South-West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,12.47,25.9614,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,32,8.71,48.4,0.87,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1697.2214000000006

2,00:15-00:30,0,0,0,0,12.47,25.9614,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,32,8.71,48.4,0.87,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1697.2214000000006

3,00:30-00:45,0,0,0,0,12.47,25.9614,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,32,8.71,48.4,0.87,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1697.2214000000006

4,00:45-01:00,0,0,0,0,12.47,25.9614,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,32,8.71,48.4,0.87,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1697.2214000000006

5,01:00-01:15,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

6,01:15-01:30,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

7,01:30-01:45,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

8,01:45-02:00,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

9,02:00-02:15,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

10,02:15-02:30,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

11,02:30-02:45,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

12,02:45-03:00,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.06,48.4,2.42,32.91,21.78,26.8708,8.71,48.4,0.68,241.98,67.75,13.55,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1692.8116000000002

13,03:00-03:15,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.63,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6516000000004

14,03:15-03:30,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.63,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6516000000004

15,03:30-03:45,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.63,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6516000000004

16,03:45-04:00,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.63,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6516000000004

17,04:00-04:15,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6016000000006

18,04:15-04:30,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6016000000006

19,04:30-04:45,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6016000000006

20,04:45-05:00,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,67.75,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1645.6016000000006

21,05:00-05:15,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1603.0216000000007

22,05:15-05:30,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1603.0216000000007

