Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28864/C,NR/2025/28865/C,NR/2025/28866/C,NR/2025/28868/C,NR/2025/27356/A/80176,NR/2025/28932/C,NR/2025/28922/C,NR/2025/28787/C,NR/2025/28933/C,NR/2025/28902/C,NR/2025/28848/C,NR/2025/28929/C,NR/2025/27622/A/80090,NR/2025/28931/C,NR/2025/28778/C,NR/2025/28928/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/15/6656,NR/2025/26563/A/80696,NR/2025/27242/A/80295,NR/2025/26952/A/80144,NR/2025/27728/A/80561,NR/2025/26785/A/80600,NR/2025/28953/C,NR/2025/27499/A/80555,NR/2025/28913/C,NR/2025/28139/A/80170,NR/2025/28141/A/80174,NR/2025/26975/A/80577,NR/2025/28914/C,NR/2025/28965/C,NR/2025/28719/A/80476,NR/2025/27088/A/80593,NR/2025/27782/A/80559,NR/2025/27726/A/80562,NR/2025/28916/C,GNA/NR/2025/06/01/7786,NR/2025/26085/A/80115,NR/2025/27168/A/80569,NR/2025/26777/A/80186,NR/2025/26445/A/80599,NR/2025/26889/A/80556,NR/2025/26860/A/80494,NR/2025/28140/A/80172,NR/2025/27162/A/80576,NR/2025/27167/A/80568,NR/2025/27727/A/80560,NR/2025/27281/A/80644,NR/2025/27725/A/80563,NR/2025/26569/A/80694,NR/2025/28911/C,NR/2025/27157/A/80188,NR/2025/26561/A/80697,NR/2025/27462/A/80091,NR/2025/28912/C,NR/2025/28917/C,NR/2025/26564/A/80695,NR/2025/26861/A/80553,NR/2025/26570/A/80693,NR/2025/28138/A/80168,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/15/8348,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,Total
,,SECI_Trader,DIAPL,BRPL,APPCPL,APPCPL,BRPL,NVVNL,NVVNL,IEXL,PowerPulse,TPDDL,PXIL,PowerPulse,IEXL,PowerPulse,MANIKARAN,NVVNL,DELHI,NDMC,MANIKARAN,APPCPL,BAWANA_GAS,PTC,KEIPL,IEXL,PowerPulse,GMRETL,PXIL,APPCPL,IEXL,HPXL,HPXL,APPCPL,BRPL,BRPL,APPCPL,APPCPL,IEXL,DIAPL,NVVNL,APPCPL,APPCPL,APPCPL,INSTINCT,ITCLH,PTC,INSTINCT,NVVNL,HPXL,BRPL,BRPL,APPCPL,PTC,APPCPL,MANIKARAN,APPCPL,PowerPulse,APPCPL,KEIPL,PowerPulse,IEXL,APPCPL,INSTINCT,PowerPulse,PowerPulse,PowerPulse,BRPL,PUNJAB,PTC,NVVNL,IEXL,PowerPulse,APPCPL,SIMHAPURI,
,,NA,HIMACHAL_STATE,NA,Manipur_State,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,NA,HIMACHAL_STATE,NA,MP_State,NA,DELHI_UT,ODISHA_STATE,CSEB_State,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,NA,NA,KARNATAKA_STATE,JK_and_LADAKH_UT,NA,NA,NA,Manipur_State,NA,UTTARAKHAND_STATE,HIMACHAL_STATE,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,GoHP_Rampur_STATE,NA,NA,MSEB_State,NA,NA,CSEB_State,GoHP_Chamera1_STATE,NA,CSEB_State,NA,NA,NA,CSEB_State,NA,MSEB_State,NA,NA,NA,NA,NA,NA,DELHI_UT,TELANGANA_State,NA,HIMACHAL_STATE,NA,CSEB_State,NA,
,,APSEPL_FTG,GBHHPL,JPL2,Manipur_Ben,CSEB_Beneficiary,TS1PL_BKN,Kameng,ILFS,MBMP,MAHAN_ENERGEN,JHAJJAR,MBMP,APL_Raigarh_TPP,TPSL_BKN2,APL_Raipur_TPP,CSEB_Beneficiary,SORANG_HEP,CHANJUII,JIPL,BLAPOWER_MP,DBPL,BAWANA_GAS,NBVL_OTCL,CSPDCL,KPTCL,MAHAN_ENERGEN,GBHHPL,MBMP,RKM_POWER,MBMP,PCKL,O2Z,JPL2,RIHAND2,DADRT2,Manipur_Ben,TRN_ENERGY,SEPLPHASE2,GBHHPL,ILFS,TRN_ENERGY,RKM_POWER,RKM_POWER,SIMHAPURI,ITCWIND,GoHP_Rampur,JPL2,JPNIGRIE_JNSTPP,GRETAENERGY,JPL2,RIHAND1,CSEB_Beneficiary,GoHP_Chamera1,JPL2,CSEB_Beneficiary,SKS_Raigarh,APL_Raigarh_TPP,SKS_Raigarh,CSEB_Beneficiary,APL_Raipur_TPP,JSWEL_MSEB,RKM_POWER,JPL2,MAHAN_ENERGEN,COASTGEN,APL_Raigarh_TPP,RIHAND3,BAWANA_GAS,NAVABHARAT,JHABUA_IPP,HP,COASTGEN,CSPDCL,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,DIAPL,BRPL,BYPL,BYPL,BRPL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,BRPL,TPDDL,MES_Delhi,TPDDL,BYPL,TPDDL,TPDDL,NDMC,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,NDMC,NDMC,BYPL,BYPL,NDMC,BRPL,BRPL,BYPL,NDMC,BRPL,DIAPL,BRPL,NDMC,NDMC,NDMC,BRPL,ITCLH,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,BYPL,BRPL,NDMC,BYPL,NDMC,TPDDL,NDMC,BYPL,TPDDL,MES_Delhi,NDMC,BRPL,TPDDL,BRPL,TPDDL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,West-North,North East-East-North,West-North,North-North,North East-East-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,East-North,West-North,West-North,North-North,East-West-North,West-North,South-East-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North-North,South-West-North,West-North,North-North,South-West-North,West-North,South-East-North,
1,00:00-00:15,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.54,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.5600000000013

2,00:15-00:30,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.54,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.5600000000013

