Block,Time,LT-59,L_NR_2018_61,L_NR_2020_06,L_NR_2021_12,LT-31,L_NR_2012_01,L_NR_2021_16,L_NR_2022_10,SH-06,L_NR_2021_13,L_NR_2012_07,L_NR_2021_15,L_NR_2012_02,L_NR_2019_07,L_NR_2012_04,LT-35,L_NR_2020_05,L_NR_2022_09,SH-07,LT-36,L_NR_2020_07,L_NR_2021_17,L_NR_2022_08,L_NR_2021_14,LT-05,L_NR_2019_19,LT_MEJA_Delhi,L_NR_2020_02,L_NR_2019_06,L_NR_2019_11,L_NR_2019_05
1,00:00-00:15,3.490000,2.47,25.08,0,0.000000,100.860000,0,53.48,0.000000,0,75.990000,0,130.280000,0,270.820000,0.000000,75.22,53.48,0.000000,0.000000,25.07,0,14.59,0,115.610000,0.000000,11.420000,3.240000,0,3.290000,0

2,00:15-00:30,3.490000,2.45,25.24,0,0.000000,100.860000,0,53.22,0.000000,0,75.990000,0,130.280000,0,270.820000,0.000000,75.72,53.22,0.000000,0.000000,25.25,0,14.55,0,115.610000,0.000000,11.420000,3.240000,0,3.290000,0

3,00:30-00:45,3.490000,2.45,25.39,0,0.000000,100.860000,0,52.82,30.330000,0,75.990000,0,130.280000,0,270.820000,0.000000,76.16,52.82,30.330000,0.000000,25.38,0,14.44,0,115.610000,0.000000,11.420000,3.240000,0,3.290000,0

4,00:45-01:00,3.490000,2.45,25.61,0,0.000000,100.860000,0,52.55,30.330000,0,75.990000,0,130.280000,0,270.820000,0.000000,76.82,52.55,30.330000,0.000000,25.61,0,14.4,0,115.610000,0.000000,11.420000,3.240000,0,3.290000,0

5,01:00-01:15,3.410000,2.45,25.87,0,0.000000,71.980000,0,52.88,30.330000,0,66.310000,0,130.280000,0,270.820000,0.000000,77.61,52.88,30.330000,0.000000,25.86,0,14.31,0,115.610000,0.000000,11.420000,3.240000,0,3.290000,0

6,01:15-01:30,3.410000,2.45,26.09,0,0.000000,52.960000,0,52.77,30.330000,0,66.310000,0,130.280000,0,270.820000,0.000000,78.27,52.77,30.330000,0.000000,26.09,0,14.39,0,94.450000,0.000000,11.420000,3.240000,0,3.290000,0

7,01:30-01:45,3.410000,2.45,26.24,0,0.000000,52.960000,0,63.48,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,78.73,63.48,30.330000,0.000000,26.25,0,19.66,0,66.110000,0.000000,11.420000,3.240000,0,3.290000,0

8,01:45-02:00,3.410000,2.45,26.97,0,0.000000,52.960000,0,62.82,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,80.9,62.82,30.330000,0.000000,26.97,0,19.47,0,66.110000,0.000000,11.420000,3.240000,0,3.290000,0

9,02:00-02:15,3.330000,2.45,34.83,0,0.000000,52.960000,0,62.66,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,104.49,62.66,30.330000,0.000000,34.83,0,19.22,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

10,02:15-02:30,3.330000,2.45,34.74,0,0.000000,52.960000,0,62.03,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,104.22,62.03,30.330000,0.000000,34.75,0,18.82,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

11,02:30-02:45,3.330000,2.45,34.67,0,0.000000,52.960000,0,62.07,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,104.01,62.07,30.330000,0.000000,34.68,0,18.55,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

12,02:45-03:00,3.330000,2.45,34.55,0,0.000000,52.960000,0,61.98,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,103.64,61.98,30.330000,0.000000,34.55,0,18.22,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

13,03:00-03:15,3.330000,2.57,34.47,0,0.000000,52.960000,0,61.86,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,103.42,61.86,30.330000,0.000000,34.47,0,18.05,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

14,03:15-03:30,3.330000,2.56,29.37,0,0.000000,52.960000,0,61.27,25.500000,0,50.710000,0,107.320000,0,270.820000,0.000000,88.12,61.27,30.330000,0.000000,29.38,0,13.1,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

15,03:30-03:45,3.330000,2.58,29.22,0,0.000000,52.960000,0,52.6,25.500000,0,31.780000,0,83.250000,0,270.820000,0.000000,87.66,52.6,30.330000,0.000000,29.22,0,12.87,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

16,03:45-04:00,3.330000,2.62,29.11,0,0.000000,52.960000,0,52.39,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,87.32,52.39,30.330000,0.000000,29.11,0,12.86,0,66.110000,0.000000,11.420000,3.150000,0,3.290000,0

17,04:00-04:15,3.250000,6.49,28.91,0,0.000000,52.960000,0,52.04,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,86.74,52.04,30.330000,0.000000,28.92,0,12.77,0,66.110000,0.000000,7.300000,3.050000,0,3.290000,0

18,04:15-04:30,3.250000,6.47,28.77,0,0.000000,52.960000,0,51.79,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,86.32,51.79,30.330000,0.000000,28.79,0,12.77,0,66.110000,0.000000,7.300000,3.050000,0,3.290000,0

19,04:30-04:45,3.250000,6.51,28.52,0,0.000000,52.960000,0,51.34,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,85.56,51.34,30.330000,0.000000,28.52,0,12.49,0,66.110000,0.000000,7.300000,3.050000,0,3.290000,0

20,04:45-05:00,3.250000,6.52,28.44,0,0.000000,52.960000,0,51.19,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,85.32,51.19,30.330000,0.000000,28.45,0,12.25,0,66.110000,0.000000,7.300000,3.050000,0,3.290000,0

21,05:00-05:15,3.250000,6.53,28.11,0,0.000000,52.960000,0,50.59,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,84.32,50.59,30.330000,0.000000,28.11,0,11.83,0,66.110000,0.000000,7.300000,3.050000,0,3.220000,0

22,05:15-05:30,3.250000,6.47,27.37,0,0.000000,52.960000,0,49.26,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,82.11,49.26,30.330000,0.000000,27.36,0,11.29,0,66.110000,0.000000,7.300000,3.050000,0,3.220000,0

23,05:30-05:45,3.250000,6.51,27.05,0,0.000000,52.960000,0,48.7,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,81.16,48.7,30.330000,0.000000,27.06,0,10.85,0,66.110000,0.000000,7.300000,3.050000,0,3.220000,0

24,05:45-06:00,3.250000,6.51,26.7,0,0.000000,52.960000,0,48.06,25.500000,0,31.780000,0,67.730000,0,270.820000,0.000000,80.11,48.06,30.330000,0.000000,26.7,0,10.32,0,66.110000,0.520000,7.300000,3.050000,0,3.220000,0

