Block,Time Block,DADRT2,FSTPP I & II,DULHASTI,DHAULIGNGA,CHAMERA3,CHAMERA2,ANTA_CRF,AURY_CRF,ANTA_RF,ANTA_LF,DADRI_GF,AURY_RF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_LF,DADRI_LF,AURY_GF,SINGRAULI_HYDRO,TALA,TALST2,TelanganaSTPP,TANDA2,UNCHAHAR1,UNCHAHAR2,TANAKPUR,TEHRIPSP,TEHRI,SIMHST2,SEWA2,SIMHST1,SINGRAULI,UNCHAHAR3,VALLURNTECL,URI2,UNCHAHAR4,URI,KOLDAM,KOTESHWR,KKNPPU2,MAPS,KUDGI,KHSTPP-II,KHSTPP-I,KISHANGANGA,KKNP,BSIUL,BRBCL,CHAMERA1,KGSU3AND4,KGSU1AND2,JHAJJAR,NNTPP,NTPL,RAMPUR,RAPPB,RSTPSU7,SASAN,PARBATI3,SALAL,RIHAND1,RIHAND3,RSTPSU1TO6,RAPPD,RIHAND2,RAPPC,NLCTS2EXP,PARBATI2,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,620.41,16.87,36.99,40.99,21.83,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,2.31,14.53,33.33,11.5,185.89,79.5,0,17.7,0,107.92,20.88,0,36.11,1.47,17.06,8.33,43.52,0,0,0,119.12,43.95,6.73,0,12.59,16.47,40.69,0,0,270.94,0,0,5.48,0,0,293.21,50.23,78.52,45.65,126.3,0,37.69,120.92,63.32,0,24.8,0,0,169.7,0,23.27,0,0,0,0,0

2,00:15-00:30,581.8,16.87,36.99,40.99,21.83,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,2.31,14.53,30.69,11.5,185.89,79.5,0,17.7,0,107.92,18.83,0,36.11,1.47,17.06,8.33,43.52,0,0,0,127.23,43.95,6.73,0,12.59,12.64,40.69,0,0,240.96,0,0,5.48,0,0,293.21,50.23,78.52,45.65,126.3,0,37.69,120.92,63.32,0,24.8,0,0,169.7,0,23.27,0,0,0,0,0

3,00:30-00:45,473.14,16.87,36.99,40.99,21.83,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,2.31,14.53,30.69,11.5,185.89,79.5,0,17.7,0,107.92,18.83,0,36.11,1.47,50.54,8.33,43.52,0,0,0,95.44,43.95,6.73,0,12.59,12.1,40.69,0,0,240.96,0,0,5.48,0,0,293.21,50.23,78.52,45.65,126.3,0,37.69,120.92,63.32,0,24.8,0,0,169.7,0,23.27,0,0,0,0,0

4,00:45-01:00,405.57,16.87,36.99,40.99,21.83,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,2.31,14.53,30.69,11.5,185.89,79.5,0,17.7,0,107.92,18.83,0,36.11,1.47,50.54,8.33,43.52,0,0,0,95.44,43.95,6.73,0,12.59,12.12,40.69,0,0,240.96,0,0,5.48,0,0,293.21,50.23,78.52,45.65,126.3,0,37.69,120.92,63.32,0,24.8,0,0,169.7,0,23.27,0,0,0,0,0

5,01:00-01:15,338,19.23,36.99,40.99,21.83,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16,0,0,2.31,16.8,35.3,11.5,185.89,79.5,0,17.7,0,107.92,21.86,0,32.36,1.47,17.06,8.33,43.52,0,0,0,95.44,43.95,6.73,0,12.59,13.14,40.69,0,0,240.96,0,0,5.48,0,0,293.21,46.65,78.52,45.65,126.3,0,37.69,120.92,63.32,0,24.8,0,0,169.7,0,23.27,0,0,0,0,0

