Column1,Block,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/12/8022,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/12/3458,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/12/2531,GNA/NR/2025/06/01/7663,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/79487,NR/2025/27622/A/79384,NR/2025/28753/C,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,NR/2025/28715/C,NR/2025/28644/C,GNA/NR/2025/06/01/9257,NR/2025/28588/C,NR/2025/28630/C,NR/2025/28589/C,NR/2025/28520/C,NR/2025/28646/C,NR/2025/28470/C,NR/2025/28648/C,NR/2025/28474/C,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7782,NR/2025/27168/A/79772,NR/2025/28637/C,NR/2025/27727/A/79782,NR/2025/28636/C,NR/2025/28606/C,NR/2025/26975/A/79793,NR/2025/28138/A/79483,NR/2025/28605/C,NR/2025/26952/A/79346,NR/2025/26785/A/79389,NR/2025/26777/A/79438,NR/2025/28595/C,NR/2025/26860/A/79715,NR/2025/28604/C,NR/2025/27462/A/79385,NR/2025/27242/A/79748,NR/2025/28141/A/79486,NR/2025/28540/C,NR/2025/27162/A/79790,NR/2025/26564/A/79729,NR/2025/26085/A/79365,NR/2025/27782/A/79781,NR/2025/27281/A/79874,NR/2025/27157/A/79445,NR/2025/28548/C,NR/2025/28620/C,NR/2025/26861/A/79743,NR/2025/28549/C,NR/2025/28633/C,NR/2025/28587/C,NR/2025/28551/C,NR/2025/27724/A/79450,NR/2025/26561/A/79727,NR/2025/26445/A/79870,NR/2025/28594/C,NR/2025/28616/C,NR/2025/27499/A/79768,NR/2025/26563/A/79728,NR/2025/28139/A/79484,NR/2025/28611/C,NR/2025/28140/A/79485,NR/2025/26889/A/79769,NR/2025/26569/A/79730,NR/2025/27167/A/79767,NR/2025/27728/A/79783,NR/2025/27088/A/79866,NR/2025/26570/A/79731,NR/2025/27726/A/79784,NR/2025/28617/C,NR/2025/27725/A/79786,Total
,,PTC,IEXL,PTC,NVVNL,IEXL,APPCPL,NDMC,INSTINCT,BAWANA_GAS,IEXL,SIMHAPURI,SECI_Trader,BRPL,IEXL,PXIL,PowerPulse,PUNJAB,IEXL,PXIL,MANIKARAN,APPCPL,IEXL,INSTINCT,PXIL,PXIL,MANIKARAN,PXIL,IEXL,KEIPL,DELHI,APPCPL,PTC,IEXL,APPCPL,IEXL,APPCPL,APPCPL,BRPL,APPCPL,PXIL,IEXL,INSTINCT,APPCPL,BRPL,APPCPL,IEXL,GMRETL,BRPL,BRPL,APPCPL,PowerPulse,ITCLH,APPCPL,MANIKARAN,KEIPL,PowerPulse,NVVNL,PowerPulse,PowerPulse,IEXL,APPCPL,PowerPulse,DIAPL,PowerPulse,NVVNL,APPCPL,NVVNL,HPXL,PowerPulse,BRPL,NVVNL,BRPL,HPXL,PowerPulse,PTC,APPCPL,NVVNL,PowerPulse,APPCPL,NVVNL,APPCPL,
,,TELANGANA_State,UTTARAKHAND_STATE,ODISHA_STATE,NA,GoHP_Chamera1_STATE,NA,NA,NA,DELHI_UT,GoHP_Koldam_STATE,NA,NA,NA,NA,KARNATAKA_STATE,NA,DELHI_UT,HIMACHAL_STATE,NA,MP_State,CSEB_State,NA,NA,NA,NA,CSEB_State,DVC_STATE,NA,CSEB_State,HIMACHAL_STATE,CSEB_State,GoHP_Rampur_STATE,GoHP_PARBATI2_STATE,NA,GoHP_Rampur_STATE,NA,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,HIMACHAL_STATE,NA,NA,CSEB_State,NA,ANDHRA_PRADESH_STATE,NA,CSEB_State,CSEB_State,NA,NA,NA,NA,NA,Manipur_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,JK_and_LADAKH_UT,NA,NA,TAMILNADU_State,NA,MSEB_State,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,NA,
,,NAVABHARAT,SEPLPHASE2,NBVL_OTCL,JHABUA_IPP,GoHP_Chamera1,DBPL,JIPL,SIMHAPURI,BAWANA_GAS,GoHP_Koldam,SIMHAPURI,APSEPL_FTG,TS1PL_BKN,TPSL_BKN2,PCKL,COASTGEN,BAWANA_GAS,HP,MCCPL,BLAPOWER_MP,CSEB_Beneficiary,ADHPL,JPL2,MBMP,ACBIL,CSEB_Beneficiary,DVC,MBMP,CSPDCL,CHANJUII,CSPDCL,GoHP_Rampur,GoHP_PARBATI2,JPL2,GoHP_Rampur,RKM_POWER,Manipur_Ben,RIHAND3,TRN_ENERGY,MBMP,MBMP,JPL2,RKM_POWER,JPL2,JPL2,JSWEL_MSEB,GBHHPL,DADRT2,JPL2,CSEB_Beneficiary,MAHAN_ENERGEN,ITCWIND,TRN_ENERGY,CSEB_Beneficiary,CSEB_Beneficiary,MAHAN_ENERGEN,Kameng,COASTGEN,APL_Raigarh_TPP,RKM_POWER,Manipur_Ben,APL_Raipur_TPP,GBHHPL,APL_Raipur_TPP,JPNIGRIE_JNSTPP,SKS_Raigarh,ILFS,O2Z,MAHAN_ENERGEN,RIHAND2,TANGEDCO,RIHAND1,GRETAENERGY,APL_Raigarh_TPP,GoHP_Chamera1,RKM_POWER,ILFS,APL_Raigarh_TPP,RKM_POWER,SORANG_HEP,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,HARYANA,BRPL,BRPL,TPDDL,BRPL,MES_Delhi,BYPL,BRPL,PUNJAB,BRPL,BYPL,BRPL,BYPL,TPDDL,BRPL,BRPL,BYPL,BYPL,BYPL,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BYPL,NDMC,BYPL,BRPL,NDMC,BRPL,NDMC,BRPL,NDMC,BRPL,NDMC,MES_Delhi,BRPL,BRPL,BRPL,BYPL,TPDDL,ITCLH,NDMC,BYPL,BYPL,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,BYPL,TPDDL,DIAPL,TPDDL,TPDDL,NDMC,BRPL,BYPL,TPDDL,BRPL,BRPL,BRPL,BYPL,TPDDL,BRPL,NDMC,BRPL,TPDDL,NDMC,TPDDL,NDMC,
,,South-West-North,North-North,East-West-North,West-North,North-North,West-North,East-North,South-West-North,North-North,North-North,South-East-North,North-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,South-West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North-North,South-West-North,North-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,
1,00:00-00:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.98,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,24.74,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3096.77

2,00:15-00:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.98,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,24.74,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3096.77

