Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01032024/22032024/HP-56,NR/01102023/31052040/LT-31,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31032024/ ChanjuII,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01032024/22032024/HP-59,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/16032024/22032024/HP-63,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01032024/31032024/NVVN/OA/16997,NR/01102023/19072037/LT-05,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,SR/01032024/31032024/SJVN010324NR1590,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01032024/31032024/SJVN010324NR1588,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.47,14.34,40.33,30.900000,86.900000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,1.770000,26.070000,48.280000,57.910000,14.33,0,40.33,43,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.060000,1.860000,0,0,0,0,0

2,00:15-00:30,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.47,14.66,39.67,30.900000,80.140000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,1.770000,26.070000,48.280000,57.910000,14.67,0,39.67,44,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.060000,1.860000,0,0,0,0,0

3,00:30-00:45,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.47,15,40,25.710000,80.140000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,1.770000,26.070000,48.280000,57.910000,15,0,40,45,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.710000,1.860000,0,0,0,0,0

4,00:45-01:00,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.8,15.34,41.33,25.710000,80.140000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,1.770000,26.070000,48.280000,57.910000,15.33,0,41.33,46,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.710000,1.860000,0,0,0,0,0

5,01:00-01:15,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.8,15.5,39.67,25.710000,80.140000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,1.770000,26.070000,48.280000,57.910000,15.5,0,39.67,46.5,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.710000,1.860000,0,0,0,0,0

6,01:15-01:30,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.8,15.5,36,25.710000,80.140000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,1.770000,26.070000,48.280000,57.910000,15.5,0,36,46.5,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.710000,1.860000,0,0,0,0,0

7,01:30-01:45,130.630000,76.750000,0.000000,193.100000,0,0,76.550000,1.540000,0,0,10.47,19.16,42,25.710000,80.140000,0.000000,48.28,32.860000,134.010000,7.01,0,78.790000,2.530000,26.070000,48.280000,57.910000,19.17,0,42,57.5,0.000000,48.28,0,0,0,0,0,0,0.000000,0.000000,25.710000,1.860000,0,0,0,0,0

