Column1,Block,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/30092023/26122029/SH-06,NR/2025/30575/C,NR/2025/30543/C,GNA/NR/2025/07/01/2997,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/30541/C,NR/2025/30433/C,NR/2025/30509/C,NR/2025/30542/C,NR/2025/29353/A/85004,NR/2025/30101/A/85360,NR/2025/30563/C,NR/2025/30485/C,NR/2025/27964/A/85442,NR/2025/30564/C,NR/2025/27963/A/85444,NR/2025/30082/A/85353,NR/2025/30543/C/Alternate/1,NR/2025/29915/A/85065,NR/2025/28725/A/85434,NR/2025/30452/C,NR/2025/29440/A/84966,NR/2025/29352/A/85006,NR/2025/30561/C,NR/2025/30511/C,NR/2025/30562/C,NR/2025/30512/C,NR/2025/30547/C,NR/2025/27962/A/85447,NR/2025/30121/A/84910,NR/2025/30513/C,NR/2025/30545/C,NR/2025/30217/A/85337,NR/2025/29167/A/85067,NR/2025/30536/C,NR/2025/29439/A/85021,NR/2025/30105/A/85338,NR/2025/27970/A/85437,NR/2025/30191/A/84908,NR/2025/30067/A/85490,NR/2025/27968/A/85440,NR/2025/30424/C,NR/2025/30565/C,NR/2025/27978/A/85364,NR/2025/29986/A/85296,NR/2025/30086/A/85339,NR/2025/30084/A/85340,GNARE/NR/2024/12/20/3668,NR/2025/26975/A/85350,NR/2025/29910/A/85344,NR/2025/29992/A/85251,NR/2025/29628/A/85347,NR/2025/30083/A/85341,NR/2025/30334/A/85129,NR/2025/29985/A/85294,Total
,,NDMC,PowerPulse,PTC,PowerPulse,APPCPL,PowerPulse,MANIKARAN,PUNJAB,ITCLH,NVVNL,APPCPL,BAWANA_GAS,DELHI,APPCPL,BYPL,PowerPulse,NVVNL,PTC,NVVNL,APPCPL,DIAPL,PowerPulse,APPCPL,PowerPulse,HPXL,NVVNL,TPTCL,PowerPulse,HPXL,ITCLH,PTC,APPCPL,PowerPulse,APPCPL,PowerPulse,NVVNL,PowerPulse,IEXL,PowerPulse,NVVNL,APPCPL,TPTCL,APPCPL,IVPL_Trader,APPCPL,PowerPulse,IEXL,MANIKARAN,PowerPulse,IEXL,APPCPL,NVVNL,BRPL,APPCPL,APPCPL,SECI_Trader,APPCPL,APPCPL,BYPL,APPCPL,APPCPL,IEXL,BRPL,
,,NA,NA,NA,NA,GOA_State,NA,MSEB_State,DELHI_UT,ANDHRA_PRADESH_STATE,NA,GOA_State,DELHI_UT,HIMACHAL_STATE,KERALA_State,KERALA_State,NA,NA,GoHP_NJPC_STATE,MP_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,UTTARPRADESH_STATE,NA,NA,ANDHRA_PRADESH_STATE,GoHP_Chamera1_STATE,NA,NA,NA,NA,MP_State,NA,TAMILNADU_State,NA,NA,NA,MSEB_State,MSEB_State,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manipur_State,KERALA_State,KERALA_State,MSEB_State,NA,NA,NA,
,,JPL2,MAHAN_ENERGEN,MEENAKSHI,APL_Raipur_TPP,GOA_Beneficiary,APL_Raipur_TPP,AEML,BAWANA_GAS,ITCWIND,Kameng,GOA_Beneficiary,BAWANA_GAS,CHANJUII,KSEB,KSEB,APL_Raipur_TPP,SORANG_HEP,GoHP_NJPC,JP_BINA,JIPL,GBHHPL,MAHAN_ENERGEN,RKM_POWER,MAHAN_ENERGEN,SKS_Raigarh,Kameng,PPGCL,MAHAN_ENERGEN,SKS_Raigarh,ITCWIND,GoHP_Chamera1,SKS_Raigarh,APL_Raigarh_TPP,RKM_POWER,MAHAN_ENERGEN,JP_BINA,APL_Raipur_TPP,PCBLTNLTD_UNIT2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,TRN_ENERGY,TPC_MSEB,AEML,TPC_MSEB,JIPL,APL_Raigarh_TPP,IND_BHARAT,MBMP,APL_Raigarh_TPP,IND_BHARAT,TRN_ENERGY,JPNIGRIE_JNSTPP,DADRT2,RKM_POWER,RKM_POWER,APSEPL_FTG,Manipur_Ben,KSEB,KSEB,AEML,SKS_Raigarh,TPSL_BKN2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,ITCLH,TPDDL,BRPL,HARYANA,TPDDL,BYPL,BYPL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,DIAPL,TPDDL,NDMC,TPDDL,BRPL,TPDDL,BRPL,BRPL,BRPL,ITCLH,BRPL,NDMC,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,MES_Delhi,BRPL,TPDDL,NDMC,BYPL,BYPL,BYPL,NDMC,TPDDL,BRPL,BRPL,TPDDL,BRPL,NDMC,TPDDL,BRPL,NDMC,NDMC,TPDDL,BYPL,BYPL,BYPL,BYPL,NDMC,MES_Delhi,BRPL,
,,West-North,West-North,South-East-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North East-East-North,West-North,North-North,North-North,South-West-North,South-West-North,West-North,North-North,North-North,West-North,East-North,North-North,West-North,West-North,West-North,West-North,North East-East-West-North,North-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,West-North,East-North,West-North,West-North,East-North,West-North,West-North,North-North,West-North,West-North,North-North,North East-East-North,South-West-North,South-West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,43.75,81.81,49.09,225.22,19.25,135.71,20.76,32,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.91,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2475.2900000000004

2,00:15-00:30,43.75,81.81,49.09,225.22,19.25,135.71,20.76,32,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.91,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2475.2900000000004

