Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/23032024/30032024/HP-60,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/23032024/30032024/HP-57,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/31052040/LT-31,NR/01012024/31032024/ ChanjuII,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/23032024/30032024/HP-64,NR/01102023/30042040/GNA_LT_36,L_NR_2019_19,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,SR/01032024/31032024/SJVN010324NR1590,NR/01032024/31032024/SJVN010324NR1589,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/31032024/SJVN010324NR1588
1,00:00-00:15,261.670000,27.080000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32,0,0,0,38.5,0,0,12.83,12.84,48.35,0,0,32,0,0,7.21,11.34,0,193.400000,0,0,0

2,00:15-00:30,261.670000,27.080000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.33,0,0,0,40,0,0,13.33,13.34,48.35,0,0,32.33,0,0,7.21,11.34,0,193.400000,0,0,0

3,00:30-00:45,261.670000,27.080000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.67,0,0,0,41,0,0,13.67,13.66,48.35,0,0,32.67,0,0,7.21,11.34,0,193.400000,0,0,0

4,00:45-01:00,261.670000,27.080000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.67,0,0,0,42,0,0,14,14,48.35,0,0,32.67,0,0,7.01,11.34,0,193.400000,0,0,0

5,01:00-01:15,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.67,0,0,0,42.5,0,0,14.17,14.16,48.35,0,0,32.67,0,0,7.01,11.34,0,193.400000,0,0,0

6,01:15-01:30,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.33,0,0,0,43,0,0,14.33,14.34,48.35,0,0,32.33,0,0,7.01,11.66,0,193.400000,0,0,0

7,01:30-01:45,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.33,0,0,0,43.5,0,0,14.5,14.5,48.35,0,0,32.33,0,0,6.81,11.66,0,193.400000,0,0,0

8,01:45-02:00,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.220000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.33,0,0,0,44,0,0,14.67,14.66,48.35,0,0,32.33,0,0,6.81,12,0,193.400000,0,0,0

9,02:00-02:15,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.120000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.33,0,0,0,44.5,0,0,14.83,14.84,48.35,0,0,32.33,0,0,6.81,12,0,193.400000,0,0,0

10,02:15-02:30,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.120000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,32.33,0,0,0,45,0,0,15,15,48.35,0,0,32.33,0,0,6.81,12.34,0,193.400000,0,0,0

11,02:30-02:45,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.120000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,40.33,0,0,0,45,0,0,15,15,48.35,0,0,40.33,0,0,6.81,12.34,0,193.400000,0,0,0

12,02:45-03:00,261.670000,28.040000,0.000000,2.140000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,2.730000,100.200000,173.290000,48.350000,0.000000,8.120000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,40,0,0,0,45.5,0,0,15.17,15.16,48.35,0,0,40,0,0,6.81,12.34,0,193.400000,0,0,0

13,03:00-03:15,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,8.040000,2.690000,132.670000,29.590000,0.000000,0,48.35,0,0,0,39.67,0,0,0,56.5,0,0,18.83,18.84,48.35,0,0,39.67,0,0,6.81,13.34,0,193.400000,0,0,0

14,03:15-03:30,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,79.570000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,8.040000,2.690000,132.670000,29.590000,0.000000,0,48.35,0,0,0,39.33,0,0,0,56,0,0,18.67,18.66,48.35,0,0,39.33,0,0,6.81,13,0,193.400000,0,0,0

15,03:30-03:45,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,79.570000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,8.040000,2.690000,132.670000,29.590000,0.000000,0,48.35,0,0,0,39,0,0,0,55,0,0,18.33,18.34,48.35,0,0,39,0,0,6.81,12.66,0,193.400000,0,0,0

16,03:45-04:00,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,79.570000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,8.040000,2.690000,132.670000,29.590000,0.000000,0,48.35,0,0,0,38.33,0,0,0,54,0,0,18,18,48.35,0,0,38.33,0,0,6.81,12.34,0,193.400000,0,0,0

17,04:00-04:15,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,79.570000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,47.33,0,0,0,54,0,0,18,18,48.35,0,0,47.33,0,0,7.01,14,0,193.400000,0,0,0

18,04:15-04:30,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,79.570000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,46,0,0,0,52.5,0,0,17.5,17.5,48.35,0,0,46,0,0,7.01,13.34,0,193.400000,0,0,0

19,04:30-04:45,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,84.410000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,45,0,0,0,51.5,0,0,17.17,17.16,48.35,0,0,45,0,0,7.01,12.66,0,193.400000,0,0,0

20,04:45-05:00,261.670000,27.080000,0.000000,2.050000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,43.67,0,0,0,52,0,0,17.33,17.34,48.35,0,0,43.67,0,0,7.01,12,0,193.400000,0,0,0

21,05:00-05:15,261.670000,28.040000,0.000000,2.050000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,39,0,0,0,51.5,0,0,17.17,17.16,48.35,0,0,39,0,0,7.01,11.34,0,193.400000,0,0,0

22,05:15-05:30,261.670000,28.040000,0.000000,2.050000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,38.33,0,0,0,52,0,0,17.33,17.34,48.35,0,0,38.33,0,0,7.01,11,0,193.400000,0,0,0

23,05:30-05:45,261.670000,28.040000,0.000000,2.050000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,37.33,0,0,0,52.5,0,0,17.5,17.5,48.35,0,0,37.33,0,0,7.01,11,0,193.400000,0,0,0

24,05:45-06:00,261.670000,28.040000,0.000000,2.050000,58.000000,25.570000,87.220000,0.000000,25.570000,74.210000,3.270000,100.200000,173.290000,48.350000,0.000000,7.940000,2.610000,132.670000,29.590000,0.000000,0,48.35,0,0,0,36.33,0,0,0,53,0,0,17.67,17.66,48.35,0,0,36.33,0,0,7.01,10.66,0,193.400000,0,0,0

25,06:00-06:15,261.670000,27.080000,0.000000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,0.000000,7.840000,2.610000,132.670000,0.000000,0.000000,0,48.35,0,0,0,34.33,0,0,0,52,0,0,17.33,17.34,48.35,0,0,34.33,0,0,7.01,10.34,0,96.700000,0,0,0

26,06:15-06:30,261.670000,27.080000,0.000000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,0.000000,7.840000,2.610000,132.670000,0.000000,0.000000,1.343016,48.35,0,2.72,0,33.33,0,0,0,51.5,0.01,0,17.17,17.16,48.35,0,0,33.33,1,0,7.01,10.34,0,96.700000,0,0,0

27,06:30-06:45,261.670000,26.110000,0.000000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,0.000000,7.840000,2.610000,132.670000,0.000000,0.000000,5.74188,48.35,0,6.72,0,31.67,0,0,1,50,0.01,0,16.67,16.66,48.35,0,0,31.67,6.78,0,7.01,13,0,96.700000,0,7.1,0

28,06:45-07:00,261.670000,26.110000,0.030000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,0.030000,7.840000,2.610000,132.670000,0.000000,0.030000,11.104212,48.35,0.5,12.48,0,30.33,0,0,4,48.5,1.93,0.38,16.17,16.16,48.35,0.27,1,30.33,12.45,0,7.01,12.34,0,96.700000,0,15.3,0

29,07:00-07:15,261.670000,25.140000,0.320000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,0.320000,7.840000,2.530000,132.670000,0.000000,0.320000,17.050464,48.35,1,20.16,1,30,0,0,11,53.5,8.52,1.7,17.83,17.84,48.35,2.28,4,30,20.1,0,7.01,11.66,0,96.700000,2,26.5,0

30,07:15-07:30,261.670000,25.140000,0.740000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,0.740000,7.840000,2.530000,132.670000,0.000000,0.760000,24.33,48.35,5,29.5,4,29.67,0,0,18,51,18.79,3.76,17,17,48.35,5.8,7,29.67,29.5,0,7.01,11,0,96.700000,9,29.5,0

31,07:30-07:45,261.670000,27.080000,1.380000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,1.380000,7.840000,2.530000,132.670000,0.000000,1.420000,31.950156,48.35,7,31,7,29.67,0,0,25,49.5,33.65,6.73,16.5,16.5,48.35,10.95,10,29.67,31,0,7.01,10.34,0,96.700000,13,31,0

32,07:45:08:00,261.670000,26.110000,2.250000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,3.110000,100.200000,0.000000,48.350000,2.250000,7.840000,2.530000,132.670000,0.000000,2.300000,41.954652,48.35,11,31,10,28.67,0,0,35,47,52.14,10.43,15.67,15.66,48.35,17.63,15,28.67,31,0,7.01,9.66,0,96.700000,20,31,0

33,08:00-08:15,261.670000,26.110000,3.280000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,2.330000,100.200000,0.000000,48.350000,3.280000,7.760000,2.610000,132.670000,0.000000,3.360000,52.21218,48.35,15,31,13,27.33,0,0,49,42,68.02,13.6,14,14,48.35,25.09,21,27.33,31,0,7.01,8.34,0,96.700000,27,31,0

34,08:15-08:30,261.670000,26.110000,4.440000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,2.330000,100.200000,0.000000,48.350000,4.440000,7.760000,2.610000,132.670000,0.000000,4.560000,61.983108,48.35,19.5,31,17,24.67,0,0,67,37.5,87.65,17.53,12.5,12.5,48.35,32.19,28,24.67,31,0,7.01,7.34,0,96.700000,35,31,0

35,08:30-08:45,261.670000,26.110000,5.650000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,2.730000,100.200000,0.000000,48.350000,5.650000,7.760000,2.610000,132.670000,0.000000,5.800000,71.179848,48.35,22.5,32,22,27,0,0,91,32.5,102.6,20.52,10.83,10.84,48.35,39.81,39,27,32,0,7.01,6.66,0,96.700000,43,32,0

36,08:45:09:00,261.670000,27.080000,6.880000,1.950000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,2.730000,100.200000,0.000000,48.350000,6.880000,7.760000,2.610000,132.670000,0.000000,7.050000,79.987308,48.35,26.4,32,26,26,0,0,109,29,119.43,23.88,9.67,9.66,48.35,47.37,46,26,32,0,7.01,6.66,0,96.700000,51,32,0

37,09:00:09:15,261.670000,27.080000,8.050000,1.860000,58.000000,30.940000,87.220000,0.000000,30.940000,0.000000,2.730000,100.200000,0.000000,48.350000,8.050000,7.660000,2.470000,132.670000,0.000000,8.250000,82.86798,48.35,29.8,32,29,26,17.41,0,126,42.5,146.98,29.4,14.17,14.16,48.35,54.56,54,26,32,0,6.61,5.21,0,96.700000,58,32,0

