Block,Time Block,KHSTPP-I,KHSTPP-II,JHAJJAR,KGSU1AND2,KGSU3AND4,NLCIIST2,BRBCL,RAPPC,RIHAND2,RSTPSU7,RIHAND3,SINGRAULI_HYDRO,RSTPSU1TO6,SEWA2,SIMHST1,SINGRAULI,SASAN,SIMHST2,SALAL,RIHAND1,RAMPUR,RAPPB,NLCIIST1,MAPS,NJPC,NLCEXP,NAPP,KUDGI,KISHANGANGA,KOTESHWR,KOLDAM,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,KKNP,KKNPPU2,AURY_GF,AURY_LF,AURY_RF,ANTA_LF,ANTA_GF,ANTA_RF,AURY_CRF,ANTA_CRF,URI,URI2,VALLURNTECL,DHAULIGNGA,DULHASTI,DADRT2,FSTPP I & II,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,TALA,TEHRI,TANDA2,TelanganaSTPP,TANAKPUR,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,TALST2,UNCHAHAR4,NTPL,PARBATI3,NNTPP,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,43.58,143.87,440.73,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,395.32,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,26.1,0,8.84,41.69,289.42,20.18,0,0,12.78,9.39,10.84,45.29,0,0,12.67,19.95,41.13,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,43.58,143.87,440.73,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,26.1,0,8.84,41.69,243.23,20.18,0,0,12.78,9.39,10.84,28.98,0,0,12.67,19.95,41.13,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,26.1,0,8.84,41.69,184.01,13.87,0,0,12.78,9.39,10.84,14.48,0,0,12.67,19.95,41.13,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,26.1,0,8.84,41.69,184.01,13.87,0,0,12.78,9.39,10.84,14.48,0,0,12.67,19.95,41.13,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,26.1,0,8.84,41.69,184.01,13.87,0,0,12.78,9.39,11.13,14.48,0,0,11.19,19.95,41.13,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,26.1,0,8.84,41.69,184.01,13.87,0,0,12.78,9.39,11.13,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,37.2,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,6.52,0,8.84,41.69,184.01,13.87,0,0,12.78,9.39,10.97,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,6.52,0,8.84,41.69,184.01,13.87,0,0,12.78,9.39,10.97,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,6.52,0,8.84,41.69,184.01,13.87,0,0,12.78,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,43.58,143.87,411.87,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,6.52,0,8.84,41.69,184.01,13.87,0,0,2.33,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,43.58,143.87,324.36,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,6.52,0,8.84,41.69,210.09,13.87,0,0,2.33,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,43.58,143.87,285.56,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,27.06,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,6.52,0,8.84,41.69,239.2,13.87,0,0,2.33,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,43.58,143.87,256.46,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,6.52,0,8.84,41.69,251.8,13.87,0,0,2.33,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,6.52,0,8.84,41.69,247.92,13.87,0,0,2.33,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,43.58,143.87,237.05,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,249.86,13.87,0,0,2.33,0,10.84,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,43.58,143.87,217.65,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,250.83,13.87,0,0,2.33,0,10.7,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,43.58,143.87,261.31,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,245.01,13.87,0,0,2.33,0,10.7,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,243.07,13.87,0,0,2.33,0,10.7,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,43.58,143.87,237.05,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,242.1,13.87,0,0,2.33,0,10.55,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,43.58,143.87,227.35,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,242.1,13.87,0,0,2.33,0,10.55,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,43.58,143.87,217.65,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,247.92,13.87,0,0,2.33,0,10.41,14.48,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,43.58,143.87,217.65,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,8.84,41.69,247.92,13.87,0,1.07,2.33,0,10.13,14.48,0,0,11.19,17.79,36.5,0,0,0,0,2.47,0,0,0,0,0,0,0

23,05:30-05:45,43.58,143.87,217.65,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.86,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,17.68,41.69,248.89,13.87,0,6.33,12.78,9.39,9.92,14.48,0,0,11.19,17.79,36.5,0,0,0,0,6.17,0,0,0,0,0,0,0

24,05:45-06:00,43.58,143.87,188.55,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,37.2,44.62,0,0,0,0,86.27,0,39.89,0,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,26.66,41.69,240.16,13.87,11.5,6.33,25.55,18.78,9.35,14.48,0,0,11.19,17.79,36.5,0,0,0,0,47.54,0,0,0,0,0,0,0

25,06:00-06:15,43.58,143.87,188.55,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,113.45,0,39.89,0,0,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,5.22,0,36.52,47.95,227.55,13.87,13.63,18.98,39.57,29.65,8.99,30.2,0,0,12.67,17.79,36.5,0,0,0,0,47.54,0,0,0,0,0,0,0

26,06:15-06:30,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,113.45,0,39.89,0,0,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,36.52,47.95,215.91,13.87,13.63,18.98,39.57,29.65,8.69,30.2,0,0,12.67,17.79,36.5,0,0,0,0,47.54,0,0,0,0,0,0,0

27,06:30-06:45,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,113.45,0,39.89,0,0,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,5.22,0,36.52,47.95,204.26,13.87,13.63,18.98,39.57,29.65,8.69,30.2,0,0,12.67,17.79,36.5,0,0,0,0,47.54,0,0,0,0,0,0,0

28,06:45-07:00,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,77.01,44.62,0,0,0,0,113.45,0,39.89,0,0,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.12,5.22,0,36.52,47.95,204.26,13.87,13.63,18.98,39.57,29.65,8.79,29.76,0,0,12.67,17.79,36.5,0,0,0,0,32.11,0,0,0,0,0,0,0

29,07:00-07:15,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,27.06,44.62,0,0,0,0,113.45,0,39.89,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.12,5.22,0,26.66,41.69,200.38,13.87,11.5,6.33,38.33,18.78,9.07,14.48,0,0,11.19,17.79,36.5,0,0,0,0,32.11,0,0,0,0,0,0,0

30,07:15-07:30,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,86.08,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,5.22,0,17.68,41.69,207.17,13.87,0,6.33,25.55,9.39,9.26,0,0,0,11.19,17.79,36.5,0,0,0,0,4.94,0,0,0,0,0,0,0

31,07:30-07:45,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.22,0,17.68,41.69,213.97,13.87,0,6.33,11.64,9.39,9.6,0,0,0,11.19,17.79,36.5,0,0,0,0,2.47,0,0,0,0,0,0,0

32,07:45-08:00,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.22,0,17.68,41.69,238.22,13.87,0,6.33,11.64,9.39,9.98,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.22,0,17.68,41.69,226.85,13.87,0,6.33,11.64,9.39,9.98,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.22,0,17.68,41.69,182.24,13.87,0,6.33,11.64,9.39,9.98,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.22,0,17.68,41.69,182.24,13.87,0,6.33,11.64,9.39,10.13,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.12,5.22,0,17.68,41.69,182.24,13.87,0,6.33,11.64,9.39,10.13,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,43.58,143.87,207.95,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,68.07,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.12,26.1,0,17.68,31.97,182.24,13.87,0,6.33,2.33,0,9.84,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,26.1,0,17.68,31.97,182.24,13.87,0,6.33,2.33,0,9.84,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,43.58,143.87,295.26,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,26.1,0,17.68,31.97,182.24,13.87,0,6.33,1.81,0,8.92,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,43.58,143.87,343.76,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,26.1,0,17.68,31.97,182.24,13.87,0,6.33,1.81,0,8.92,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,43.58,143.87,304.96,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,26.1,0,8.84,31.97,182.24,13.87,0,6.33,1.81,0,8.92,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,45.38,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,26.1,0,8.84,31.97,182.24,13.87,0,6.33,1.81,0,8.92,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,5.22,0,8.84,31.97,182.24,13.87,0,6.33,1.81,0,8.58,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,25.36,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,5.22,0,8.84,31.97,182.24,13.87,0,6.33,1.81,0,8.58,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,8.58,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,43.58,143.87,246.75,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,8.58,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,43.58,143.87,188.55,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,8.16,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,43.58,143.87,188.55,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,9.15,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,9.15,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,9.15,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,43.58,143.87,159.45,0,0,0,14.55,50.1,115.21,0,120.6,0,0,0,0,134.6,398.34,0,20.28,44.62,0,0,0,0,40.42,0,39.89,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,5.22,0,8.84,31.97,182.24,13.87,0,0,1.81,0,9.15,0,0,0,11.19,17.79,36.5,0,0,0,0,0,0,0,0,0,0,0,0

