Block,Time,KGSU1AND2,KKNPPU2,KOLDAM,PARBATI3,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,DADRI_RF,CHAMERA1,CHAMERA2,DULHASTI,FSTPP I & II,KOTESHWR,NAPP,NLCEXP,NLCIIST2,ANTA_GF,DHAULIGNGA,JHAJJAR,KGSU3AND4,KKNP,KUDGI,NNTPP,RIHAND2,SASAN,SIMHST1,ANTA_LF,DADRT2,RSTPSU1TO6,SINGRAULI,TALA,TANAKPUR,TANDA2,UNCHAHAR3,UNCHAHAR4,VALLURNTECL,BSIUL,KHSTPP-II,NLCTS2EXP,RAPPB,RSTPSU7,SIMHST2,TelanganaSTPP,AURY_GF,MAPS,NTPL,RAPPC,RIHAND3,SALAL,SINGRAULI_HYDRO,UNCHAHAR1,URI,URI2,DADRI_CRF,BRBCL,CHAMERA3,KHSTPP-I,KISHANGANGA,RAMPUR,SEWA2,TALST2,TEHRI,UNCHAHAR2,DADRI_LF,NJPC,NLCIIST1,RIHAND1,AURY_CRF,AURY_RF
1,00:00-00:15,0,0,0,0,0,42.74,0,0,66.85,0,2.4,16.48,18.21,8.87,41.44,0,0,0,9.11,654.31,0,0,0,0,118.76,418.77,0,0,341.57,0,139.68,0,11.91,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,52.03,124.32,12.78,0,20.56,39.19,4.57,0,20.01,0,44.92,0,0,0,0,14.93,42.4,21.92,0,0,92,0,70.16

2,00:15-00:30,0,0,0,0,0,42.74,0,0,66.85,0,2.4,16.48,18.21,8.87,41.44,0,0,0,9.11,654.31,0,0,0,0,118.76,418.77,0,0,341.57,0,139.68,0,11.91,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,52.03,124.32,79.38,0,20.56,39.19,4.57,0,20.01,0,44.92,0,0,0,0,14.93,42.4,21.92,0,0,92,0,70.16

3,00:30-00:45,0,0,0,0,0,42.74,0,0,66.85,0,2.4,16.48,18.21,8.87,41.44,0,0,0,9.11,654.31,0,0,0,0,118.76,418.77,0,0,341.57,0,139.68,0,7.05,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,52.03,124.32,79.38,0,20.56,2.76,4.57,0,20.01,0,44.92,0,0,0,0,14.93,42.4,21.92,0,0,92,0,70.16

4,00:45-01:00,0,0,0,0,0,42.74,0,0,66.85,0,2.4,16.48,18.21,8.87,41.44,0,0,0,9.11,654.31,0,0,0,0,118.76,418.77,0,0,341.57,0,139.68,0,7.05,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,52.03,124.32,79.38,0,20.56,1.66,4.57,0,20.01,0,44.92,0,0,0,0,14.93,42.4,21.92,0,0,92,0,70.16

5,01:00-01:15,0,0,0,0,0,42.74,0,0,66.85,0,2.4,16.48,18.21,8.87,41.44,0,0,0,9.11,654.31,0,0,0,0,118.76,418.77,0,0,341.57,0,139.68,0,7.05,0,0,0,0,0,148.3,0,0,0,0,0,0,0,0,52.03,124.32,79.38,0,20.56,1.66,4.57,0,20.01,0,44.92,0,0,0,0,14.93,42.4,21.92,0,0,92,0,70.16

