Block,Time,CHAMERA2,KHSTPP-I,KHSTPP-II,NTPL,RAMPUR,SINGRAULI_HYDRO,TALA,TelanganaSTPP,URI,ANTA_GF,KUDGI,NLCIIST2,TANDA2,BSIUL,JHAJJAR,KKNP,KOTESHWR,RAPPB,RIHAND3,SEWA2,SINGRAULI,TEHRI,AURY_GF,CHAMERA3,FSTPP I & II,NJPC,NLCIIST1,RIHAND2,TANAKPUR,UNCHAHAR4,URI2,ANTA_CRF,ANTA_LF,AURY_CRF,DADRT2,TALST2,UNCHAHAR3,ANTA_RF,AURY_RF,DADRI_RF,BRBCL,KGSU1AND2,KKNPPU2,MAPS,NLCEXP,SIMHST1,DHAULIGNGA,DULHASTI,KGSU3AND4,NAPP,NLCTS2EXP,NNTPP,PARBATI3,RAPPC,RSTPSU1TO6,SASAN,SIMHST2,UNCHAHAR2,VALLURNTECL,DADRI_GF,CHAMERA1,KISHANGANGA,KOLDAM,RIHAND1,RSTPSU7,SALAL,UNCHAHAR1,AURY_LF,DADRI_CRF,DADRI_LF
1,00:00-00:15,26.85,44.92,47.21,0,2.44,0,9.9,0,22.08,0,0,0,2.89,6.52,531.81,0,9.66,0,127.6,0,126.19,53.16,0,21.37,20.8,113.81,0,121.71,13,1.62,35.46,0,0,0,343.03,0,0,32.17,77.94,97.79,15,0,0,0,0,0,40.2,54.53,0,45.7,0,0,3.94,60.23,0,418.77,0,19.62,0,0,28.1,0,4.01,47.33,0,49.97,15.72,0,0,0

2,00:15-00:30,26.85,44.92,47.21,0,2.44,0,9.9,0,22.08,0,0,0,2.89,6.52,531.81,0,9.66,0,127.6,0,126.19,53.16,0,21.37,20.8,113.81,0,121.71,13,1.62,35.46,0,0,0,343.03,0,0,32.17,77.94,97.79,15,0,0,0,0,0,40.2,54.53,0,45.7,0,0,3.94,60.23,0,418.77,0,19.62,0,0,28.1,0,4.01,47.33,0,49.97,15.72,0,0,0

3,00:30-00:45,26.85,44.92,47.21,0,2.44,0,9.9,0,27.6,0,0,0,2.89,6.52,531.81,0,9.66,0,127.6,0,126.19,35.44,0,21.37,20.8,113.81,0,121.71,13,1.62,35.46,0,0,0,343.03,0,0,32.17,77.94,97.79,15,0,0,0,0,0,40.2,54.53,0,45.7,0,0,3.94,60.23,0,418.77,0,19.62,0,0,28.1,0,4.01,47.33,0,49.97,15.72,0,0,0

4,00:45-01:00,26.85,44.92,47.21,0,2.44,0,9.9,0,27.6,0,0,0,2.89,6.52,531.81,0,9.66,0,127.6,0,126.19,35.44,0,21.37,20.8,113.81,0,121.71,13,1.62,35.46,0,0,0,343.03,0,0,32.17,77.94,97.79,15,0,0,0,0,0,40.2,54.53,0,45.7,0,0,3.94,60.23,0,418.77,0,19.62,0,0,28.1,0,4.01,47.33,0,49.97,15.72,0,0,0

5,01:00-01:15,26.85,44.92,47.21,0,2.44,0,10.05,0,22.08,0,0,0,2.89,6.52,531.81,0,9.66,0,127.6,0,126.19,17.72,0,21.37,20.8,113.81,0,121.71,13,1.62,35.46,0,0,0,343.03,0,0,32.17,77.94,97.79,15,0,0,0,0,0,40.2,54.53,0,45.7,0,0,3.94,60.23,0,418.77,0,19.62,0,0,28.1,0,4.01,47.33,0,49.97,15.72,0,0,0

