Time,Block,NR/2024/18331/A/3340,NR/2024/18285/A/3328,NR/2023/18183/A/3341,NR/2024/18370/C,NR/2023/18204/A/3211,WR/2023/20914/A/3332,NR/2024/18367/C,NR/2023/18074/A/3202,WR/2023/20937/A/3339,NR/2024/18371/C,Total
,,MANIKARAN,HPXL,MANIKARAN,SJVNL,IEXL,APPCPL,NVVNL,ITCLH,MANIKARAN,SJVNL,Total

,,DELHI,MP,DELHI,NA,ANDHRA PRADESH,DELHI,NA,ANDHRA PRADESH,DELHI,NA,
,,BRPL,MSPIL,BRPL,RSRPL_BKN,SNJSUGARLTDAP,BRPL,SOLAPUR_SOLAR,ITCWIND,BRPL,RSRPL_BKN,
,,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,DELHI,GOA,DELHI,DELHI,GOA,DELHI,
,,HP,NDMC,HP,NDMC,MES (Delhi),GOA_Beneficiary,MES (Delhi),ITCLH,GOA_Beneficiary,NDMC,
,,North-North,West-North,North-North,North-North,South-East-North,North-West,West-North,South-West-North,North-West,North-North,
1,00:00-00:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

2,00:15-00:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

3,00:30-00:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

4,00:45-01:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

5,01:00-01:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

6,01:15-01:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

7,01:30-01:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

8,01:45-02:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

9,02:00-02:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

10,02:15-02:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

11,02:30-02:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

12,02:45-03:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

13,03:00-03:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

14,03:15-03:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

