Block,Time Block,NLCEXP,MAPS,NJPC,NLCIIST1,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,NTPL,KUDGI,ANTA_GF,AURY_CRF,DADRI_CRF,DADRI_RF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_LF,ANTA_LF,AURY_GF,DADRI_GF,DHAULIGNGA,JHAJJAR,FSTPP I & II,DULHASTI,KGSU1AND2,KOLDAM,KISHANGANGA,KGSU3AND4,KHSTPP-II,KHSTPP-I,KOTESHWR,KKNP,KKNPPU2,BRBCL,DADRT2,CHAMERA2,CHAMERA3,CHAMERA1,BSIUL,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,VALLURNTECL,RSTPSU1TO6,TALST2,TANAKPUR,SASAN,SINGRAULI_HYDRO,SIMHST1,SIMHST2,TANDA2,TALA,SALAL,SEWA2,SINGRAULI,RSTPSU7,RIHAND2,RAPPB,RIHAND1,RAMPUR,RAPPC,PARBATI3,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,10.98,15.82,0,0,0,0,139.65,36.03,8.52,0,0,19.2,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,5.53,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,10.98,15.82,0,0,0,0,114.42,34.11,8.52,0,0,18.41,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,5.53,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,12.8,15.82,0,0,0,0,113.46,34.11,8.52,0,0,16.4,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,5.53,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,12.8,15.82,0,0,0,0,113.46,34.11,8.52,0,0,15.71,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,5.53,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,11.04,15.82,0,0,0,0,113.46,34.11,8.52,0,0,14.85,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,5.53,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,10.98,15.82,0,0,0,0,113.46,34.11,8.52,0,0,12.67,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,5.53,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,41.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.52,10.98,15.82,0,0,0,0,113.46,34.11,8.52,0,0,11.69,265.13,0,0,0,0,0,22.45,0.53,0,5.76,0,4.14,14.07,0,0,0,0,329.43,0.62,0,0,0,0,1.34,0,134.12,0,114.02,0,88.33,0,50.68,0,59.68,0,0,0,0,0

