Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/22102023/11042047/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_35,NR/24112023/24112023/HPX-TAMCTG-231123-05278,NR/01102023/19072037/LT-05,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/25072045/L_NR_2021_15,NR/01112023/30112023/HP-09,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/03112023/30112023/IEX-231101-05680,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/24112023/24112023/IEX-231123-05740,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/01112023/30112023/HP-10,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/14082046/L_NR_2021_16,NR/24112023/24112023/HPX-TAMCTG-231123-05277,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,1.760000,271.150000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,43.900000,0,6.66,48.200000,14.67,0,26.020000,0.000000,23.140000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,164.770000

2,00:15-00:30,1.760000,271.150000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,30.850000,0,6.66,48.200000,14.67,0,26.020000,0.000000,23.140000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,125.330000

3,00:30-00:45,1.760000,271.150000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,30.850000,0,6.66,48.200000,14.67,0,26.020000,0.000000,24.100000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,125.330000

4,00:45-01:00,1.760000,271.150000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,30.850000,0,6.66,48.200000,14.67,0,26.020000,0.000000,24.100000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,125.330000

5,01:00-01:15,1.760000,271.150000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,30.850000,0,6.66,48.200000,14.67,0,26.020000,0.000000,24.100000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,125.330000

6,01:15-01:30,1.760000,271.150000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,30.850000,0,6.66,48.200000,14.67,0,26.020000,0.000000,24.100000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,125.330000

7,01:30-01:45,1.760000,231.380000,20,0,0,96.410000,0,48.200000,2.130000,0.000000,1.630000,26.020000,6.67,7.01,0.000000,0.000000,71.730000,48.200000,0,76.640000,30.850000,0,6.66,48.200000,14.67,0,26.020000,0.000000,24.100000,0,0,0,0.000000,0,0,0,0.000000,14.67,6.34,0,98.350000,144.62,0,0.000000,125.330000

