Time,Block,NR/2023/11203/A,NR/2023/14333/D,NR/2023/14326/D,NR/2023/13858/A,NR/2023/11204/A,NR/2023/11954/A,NR/2023/14354/C,NR/2023/13859/A,NR/2023/13573/A,NR/2023/13704/A,NR/2023/13573/A/II,NR/2023/14120/F,NR/2023/13983/F,NR/2023/13283/A,NR/2023/14119/F,NR/2023/14387/C,NR/2023/14361/C,NR/2023/11521/A,NR/2023/13283/A/II,NR/2023/11697/A,NR/2023/11325/A,NR/2023/14113/F,NR/2023/14117/F,NR/2023/14121/F,NR/2023/14359/C,NR/2023/14397/C,NR/2023/11654/A,NR/2023/14346/C,NR/2023/11458/A,NR/2023/14404/C,NR/2023/14334/D,NR/2023/14400/C,NR/2023/11739/A,NR/2023/11328/A,NR/2023/11524/A,NR/2023/14335/D,NR/2023/11892/A,NR/2023/13704/A/II,NR/2023/14370/C,NR/2023/11469/A,NR/2023/14136/F,NR/2023/14187/F,NR/2023/11264/A,NR/2023/13284/A,NR/2023/14116/F,NR/2023/14330/D,NR/2023/14115/F,NR/2023/13983/F/II,NR/2023/14378/C,NR/2023/14331/D,NR/2023/14364/C,NR/2023/12646/A,NR/2023/11315/A,NR/2023/14114/F,NR/2023/11470/A,NR/2023/14350/C,NR/2023/14118/F,NR/2023/14328/D,NR/2023/11205/A,Total
,,KEIPL,KEIPL,NVVNL,MANIKARAN,KEIPL,KEIPL,PXIL,MANIKARAN,NVVNL,HPXL,NVVNL,SHPPBPL,ITCLH,APPCPL,SHPPBPL,IEXL,HPXL,PTC,APPCPL,APPCPL,APPCPL,SHPPBPL,SHPPBPL,SHPPBPL,IEXL,IEXL,TPTCL,IEXL,STATKRAFT,HPXL,TS1PL_BKN,HPXL,NVVNL,APPCPL,PTC,KEIPL,TPTCL,HPXL,HPXL,NVVNL,SJVNL,GBHHPL,TPTCL,APPCPL,SHPPBPL,NVVNL,SHPPBPL,ITCLH,IEXL,TS1PL_BKN,IEXL,MANIKARAN,GMRETL,SHPPBPL,NVVNL,TPDDL,SHPPBPL,NVVNL,KEIPL,Total

,,MEGHALAYA,MAHARASHTRA,NA,HIMACHAL PRADESH,KERALA,MEGHALAYA,DELHI,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,GOA,HIMACHAL PRADESH,NA,NA,NA,GOA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,KARNATAKA,TAMIL NADU,NA,NA,KARNATAKA,MP,UTTARAKHAND,NA,UTTAR PRADESH,MAHARASHTRA,MAHARASHTRA,NA,NA,WEST BENGAL,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,NA,NA,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KERALA,
,,Meghalaya_Ben,LMEL MSEB,SORANG_HEP,HP,KSEB,Meghalaya_Ben,BYPL,HP,SKS Raigarh,B_S_ISPAT_MH,SKS Raigarh,SHPPBPL,ITCWIND,GOA_Beneficiary,SHPPBPL,TRN_ENERGY,APNRL,JPNIGRIE_JNSTPP,GOA_Beneficiary,HP,Meghalaya_Ben,SHPPBPL,SHPPBPL,SHPPBPL,MALANA,JHABUA_IPP,JPL-2,NSLSUGAR,TANGEDCO,HIRIYUR_OSTROKANNADA,TS1PL_BKN,UDUPI_SR,JP BINA,UTTARAKHAND,JPL-2,LAPL-UP,TPC MSEB,B_S_ISPAT_MH,SIMHAPURI,JPNIGRIE_JNSTPP,IPCL_WB,GBHHPL,KWHEP,HP,SHPPBPL,SOLAPUR_SOLAR,SHPPBPL,ITCWIND,ACBIL,TS1PL_BKN,ADHPL,TANGEDCO,Meghalaya_Ben,SHPPBPL,KAMENG,CHANJUII,SHPPBPL,KAMENG,KSEB,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,TPDDL,BRPL,BYPL,BYPL,ASIL_UP,BRPL,NDMC,NDMC,NDMC,MHIL,ITCLH,BRPL,JHPL-DL,BRPL,BRPL,TPDDL,BRPL,BYPL,BYPL,BAL184,BMDRC,UHL,BRPL,BYPL,BRPL,MES (Delhi),BYPL,BYPL,BYPL,BRPL,BRPL,BYPL,TPDDL,BYPL,BYPL,NDMC,BRPL,BRPL,NDMC,DIAPL,BRPL,BRPL,AISHER,MES (Delhi),BAL234,ITCLH,BRPL,BRPL,BRPL,BRPL,BYPL,BAL224,BRPL,TPDDL,MAX-HPTL,TPDDL,BRPL,
,,North East-East-North,West-North,North-North,North-North,South-East-North,North East-East-North,North-North,North-North,West-North,West-East-North,West-East-North,North-North,South-West-North,West-North,North-North,West-North,East-North,West-North,West-East-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,West-North,South-West-North,South-West-North,South-East-North,North-North,South-East-North,West-North,North-North,West-North,North-North,West-North,West-North,South-East-North,West-North,East-North,North-North,North-North,North-North,North-North,West-North,North-North,South-East-North,West-North,North-North,North-North,South-West-North,North East-East-North,North-North,North East-East-North,North-North,North-North,North East-East-North,South-East-North,
1,00:00-00:15,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,0.000000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.870000,0.000000,0,91.710000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2084.94

2,00:15-00:30,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,0.000000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.870000,0.000000,0,91.710000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2084.94
