Block,Time,CHAMERA1,DADRT2,DULHASTI,KKNP,KKNPPU2,KOLDAM,NAPP,RIHAND2,RSTPSU7,SIMHST2,SINGRAULI_HYDRO,TEHRI,AURY_RF,BSIUL,DHAULIGNGA,KOTESHWR,NLCEXP,NNTPP,RAPPB,SASAN,ANTA_LF,KISHANGANGA,RIHAND3,TelanganaSTPP,UNCHAHAR4,URI2,VALLURNTECL,ANTA_GF,DADRI_CRF,BRBCL,CHAMERA2,KHSTPP-I,KHSTPP-II,NJPC,RAMPUR,RIHAND1,SEWA2,TANAKPUR,ANTA_CRF,AURY_GF,JHAJJAR,KUDGI,NLCTS2EXP,RAPPC,SIMHST1,TALST2,TANDA2,UNCHAHAR1,DADRI_LF,DADRI_RF,CHAMERA3,SINGRAULI,URI,DADRI_GF,FSTPP I & II,NLCIIST1,NTPL,PARBATI3,RSTPSU1TO6,TALA,UNCHAHAR3,AURY_CRF,AURY_LF,KGSU1AND2,KGSU3AND4,MAPS,NLCIIST2,SALAL,UNCHAHAR2,ANTA_RF
1,00:00-00:15,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,18.83,0,0,0,15,2.4,45.53,148.3,42.62,0,92,0,13.06,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,12.78,42.4,42.74

2,00:15-00:30,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,18.83,0,0,0,15,2.4,45.53,148.3,42.62,0,92,0,13.06,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,25.57,42.4,42.74

3,00:30-00:45,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,18.83,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,8.96,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,79.38,42.4,42.74

4,00:45-01:00,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,18.83,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,8.96,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,79.38,42.4,42.74

5,01:00-01:15,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,18.83,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,8.96,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,79.38,42.4,42.74

6,01:15-01:30,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,18.83,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,8.96,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,0,0,0,0,0,0,0,79.38,42.4,42.74

7,01:30-01:45,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,8.96,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,25.57,42.4,42.74

8,01:45-02:00,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,8.96,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

9,02:00-02:15,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,13.06,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

10,02:15-02:30,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,45.53,148.3,23.39,0,92,0,13.06,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

11,02:30-02:45,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,43.71,148.3,23.39,0,92,0,9.61,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

12,02:45-03:00,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,1.32,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,43.71,148.3,23.39,0,92,0,9.61,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

13,03:00-03:15,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,43.71,148.3,23.39,0,92,0,9.61,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

14,03:15-03:30,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,43.71,148.3,42.62,0,92,0,9.61,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

15,03:30-03:45,0,341.57,32.96,0,0,0,41.76,118.76,0,0,0,14.93,69.5,0,9.11,8.87,0,0,0,418.77,0,0,60.02,0,0,4.57,0,0,0,15,2.4,43.71,148.3,42.62,0,92,0,9.61,0,0,472.31,0,0,51.9,0,0,0,20.84,21.92,66.85,0,139.68,2.21,0,20.8,0,0,0,0,0,26.39,0,0,0,0,0,0,12.78,42.4,42.74

