Block,Time,LT-35,LT_MEJA_Delhi,L_NR_2020_02,L_NR_2012_02,SH-07,L_NR_2012_04,L_NR_2019_11,L_NR_2012_01,LT-05,L_NR_2012_07,LT-59,L_NR_2019_19,LT-36,SH-06,L_NR_2020_05,L_NR_2021_16,L_NR_2022_08,LT-31,L_NR_2022_10,L_NR_2021_14,L_NR_2021_15,L_NR_2019_06,L_NR_2019_05,L_NR_2021_17,L_NR_2022_09,L_NR_2020_06,L_NR_2021_12,L_NR_2021_13,L_NR_2019_07,L_NR_2018_61,L_NR_2020_07
1,00:00-00:15,0.000000,11.440000,3.800000,130.500000,24.610000,271.270000,3.300000,101.030000,115.800000,76.120000,3.650000,0.000000,0.000000,24.610000,47.76,0,11.04,0.000000,29.38,0,0,0,0,0,29.38,15.92,0,0,0,5.49,15.91

2,00:15-00:30,0.000000,11.440000,3.800000,130.500000,24.610000,271.270000,3.300000,101.030000,115.800000,76.120000,3.650000,0.000000,0.000000,24.610000,48.22,0,11.03,0.000000,42.27,0,0,0,0,0,42.27,16.07,0,0,0,5.53,16.08

3,00:30-00:45,0.000000,11.440000,3.800000,130.500000,24.610000,271.270000,3.300000,101.030000,115.800000,76.120000,3.650000,0.000000,0.000000,24.610000,71.01,0,10.96,0.000000,42.2,0,0,0,0,0,42.2,23.67,0,0,0,5.5,23.68

4,00:45-01:00,0.000000,11.440000,3.800000,130.500000,26.030000,271.270000,3.300000,101.030000,115.800000,76.120000,3.650000,0.000000,0.000000,26.030000,70.98,0,10.94,0.000000,41.74,0,0,0,0,0,41.74,23.66,0,0,0,5.52,23.66

5,01:00-01:15,0.000000,11.440000,3.670000,130.500000,26.030000,271.270000,3.300000,101.030000,115.800000,76.120000,3.650000,0.000000,0.000000,26.030000,70.61,0,10.84,0.000000,41.39,0,0,0,0,0,41.39,23.54,0,0,0,5.53,23.54

6,01:15-01:30,0.000000,11.440000,3.670000,130.500000,26.030000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,26.030000,58.08,0,8.51,0.000000,41.08,0,0,0,0,0,41.08,19.36,0,0,0,5.56,19.36

7,01:30-01:45,0.000000,11.440000,3.670000,130.500000,26.030000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,26.030000,57.83,0,8.45,0.000000,40.95,0,0,0,0,0,40.95,19.28,0,0,0,5.53,19.27

8,01:45-02:00,0.000000,11.440000,3.670000,130.500000,26.030000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,26.030000,57.74,0,8.45,0.000000,40.21,0,0,0,0,0,40.21,19.25,0,0,0,5.52,19.25

9,02:00-02:15,0.000000,11.440000,3.520000,130.500000,26.030000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,26.030000,57.72,0,8.4,0.000000,39.21,0,0,0,0,0,39.21,19.24,0,0,0,5.49,19.23

10,02:15-02:30,0.000000,11.440000,3.520000,130.500000,26.030000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,26.030000,57.63,0,8.35,0.000000,38.54,0,0,0,0,0,38.54,19.21,0,0,0,5.53,19.21

11,02:30-02:45,0.000000,11.440000,3.520000,130.500000,25.480000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,30.860000,57.17,0,8.33,0.000000,36.88,0,0,0,0,0,36.88,19.06,0,0,0,5.5,19.06

12,02:45-03:00,0.000000,11.440000,3.520000,130.500000,25.480000,271.270000,3.300000,101.030000,94.610000,76.120000,3.650000,0.000000,0.000000,30.860000,57.02,0,8.3,0.000000,36.29,0,0,0,0,0,36.29,19.01,0,0,0,5.52,19

13,03:00-03:15,0.000000,11.440000,3.520000,130.500000,25.480000,271.270000,3.300000,101.030000,94.610000,58.120000,3.650000,0.000000,0.000000,30.860000,55.76,0,11.28,0.000000,36.26,0,0,0,0,0,36.26,18.59,0,0,0,5.53,18.57

14,03:15-03:30,0.000000,11.440000,3.520000,130.500000,25.480000,271.270000,3.300000,101.030000,94.610000,58.120000,3.650000,0.000000,0.000000,30.860000,67.42,0,10.66,0.000000,43.43,0,0,0,0,0,43.43,22.47,0,0,0,5.56,22.47

15,03:30-03:45,0.000000,11.440000,3.520000,130.500000,25.480000,271.270000,3.300000,101.030000,94.610000,58.120000,3.650000,0.000000,0.000000,30.860000,66.37,0,10.29,0.000000,43.28,0,0,0,0,0,43.28,22.12,0,0,0,5.53,22.13

