Block,Time Block,SASAN,RAPPB,RIHAND2,RSTPSU1TO6,SIMHST1,RIHAND1,RSTPSU7,SALAL,SEWA2,RIHAND3,RAPPC,NJPC,NLCIIST2,NAPP,KOTESHWR,KUDGI,NLCEXP,MAPS,NLCIIST1,NLCTS2EXP,NNTPP,NTPL,RAMPUR,PARBATI3,DHAULIGNGA,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,DULHASTI,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,BRBCL,CHAMERA2,CHAMERA1,BSIUL,CHAMERA3,DADRT2,AURY_LF,AURY_RF,DADRI_RF,DADRI_GF,AURY_GF,DADRI_LF,DADRI_CRF,URI2,UNCHAHAR4,URI,UNCHAHAR3,VALLURNTECL,ANTA_LF,AURY_CRF,ANTA_GF,ANTA_CRF,ANTA_RF,TALST2,SINGRAULI_HYDRO,TANAKPUR,SIMHST2,TALA,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TEHRI,UNCHAHAR1,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,235.66,0,0,15.08,15.89,127.01,0,0,0,0,35.91,19.28,1.54,0,0,0,520.36,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,134.67,15.32,0,14.97,0,0,0,0,0,0

2,00:15-00:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,235.66,0,0,15.08,15.89,125.94,0,0,0,0,35.91,19.28,1.54,0,0,0,481.64,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,134.67,15.32,0,14.97,0,0,0,0,0,0

3,00:30-00:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,235.66,0,0,15.08,15.89,125.94,0,0,0,0,35.91,16.37,1.54,0,0,0,433.43,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

4,00:45-01:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,235.66,0,0,15.08,15.89,125.94,0,0,0,0,35.91,16.38,1.54,0,0,0,414.15,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

5,01:00-01:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,235.66,0,0,15.08,15.89,125.94,0,0,0,0,35.91,16.52,1.54,0,0,0,414.15,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

6,01:15-01:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,235.66,0,0,15.08,15.89,125.94,0,0,0,0,35.91,14.81,1.54,0,0,0,414.15,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

7,01:30-01:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,15.08,15.89,125.94,0,0,0,0,35.91,17.05,1.54,0,0,0,414.15,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

8,01:45-02:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,15.08,15.89,125.94,0,0,0,0,35.91,14.82,1.54,0,0,0,414.15,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

9,02:00-02:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,15.08,15.89,125.94,0,0,0,0,35.91,14.55,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

10,02:15-02:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,15.82,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

11,02:30-02:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,16.39,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

12,02:45-03:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,18.46,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

13,03:00-03:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,17.26,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

14,03:15-03:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,17.64,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

15,03:30-03:45,403.74,0,114.5,0,0,88.7,0,13.45,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,18,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

16,03:45-04:00,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,19.28,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

17,04:00-04:15,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,19.28,1.54,0,0,0,423.79,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

18,04:15-04:30,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,19.28,1.54,0,0,0,462.35,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

19,04:30-04:45,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,19.28,1.54,0,0,0,462.35,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

20,04:45-05:00,403.74,0,114.5,0,0,88.7,0,12.88,0,119.86,50.53,22.55,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,125.94,0,0,0,0,35.91,19.28,1.54,0,0,0,462.35,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

21,05:00-05:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,45.1,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,122.71,0,0,0,0,35.7,19.28,1.54,0,0,0,471.99,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,14.39,14.97,0,0,0,0,0,0

22,05:15-05:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,67.65,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,122.71,0,0,0,0,35.7,19.28,1.54,0,0,0,471.99,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,29.76,14.97,0,0,0,0,0,0

23,05:30-05:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,90.2,0,40.15,8.55,0,0,0,0,0,0,0,0,0,8.8,232.63,0,0,14.97,15.89,122.71,0,0,0,0,35.7,19.28,1.54,0,0,0,471.99,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,29.76,14.97,0,0,0,0,0,0

24,05:45-06:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,112.75,0,40.15,8.55,0,0,0,0,0,0,0,0,0,17.61,232.63,0,0,14.97,15.89,122.71,0,0,0,0,35.7,19.28,3.6,0,1.06,9.33,471.99,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,44.65,14.97,0,0,0,0,0,0

25,06:00-06:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,112.75,0,40.15,8.55,0,0,0,0,0,0,0,0,3.68,26.42,232.63,0,0,14.97,31.78,122.71,0,0,0,0,35.7,19.28,7.71,11.42,3.18,18.66,433.43,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,60.01,14.97,0,0,0,0,0,0

