Block,Time,L_NR_2022_10,L_NR_2022_08,L_NR_2019_07,L_NR_2021_17,L_NR_2020_06,L_NR_2022_09,LT-36,L_NR_2021_13,L_NR_2012_02,L_NR_2018_61,LT-35,L_NR_2023_04,SH-06,L_NR_2019_06,L_NR_2020_05,LT-59,L_NR_2012_01,L_NR_2023_07,L_NR_2021_16,L_NR_2019_19,L_NR_2021_14,L_NR_2020_07,L_NR_2023_10,L_NR_2012_04,LT-05,L_NR_2021_15,LT-31,L_NR_2020_02,L_NR_2019_05,SH-07,L_NR_2012_07,L_NR_2019_11,L_NR_2021_12
1,00:00-00:15,16.29,7,0,0,7.5,16.29,0.000000,0,259.690000,7.2,0.000000,29.450000,30.710000,0,22.5,9.880000,100.530000,0,0,0,0,7.5,0,269.920000,57.580000,0,0.000000,7.480000,0,30.710000,73.590000,8.400000,0

2,00:15-00:30,15.89,7,0,0,7.5,15.89,0.000000,0,259.690000,7.2,0.000000,29.450000,30.710000,0,22.5,9.880000,100.530000,0,0,0,0,7.5,0,269.920000,57.580000,0,0.000000,7.480000,0,30.710000,73.590000,8.400000,0

3,00:30-00:45,18.13,8.4,0,0,8.78,18.13,0.000000,0,259.690000,7.2,0.000000,29.450000,23.200000,0,26.33,9.880000,100.530000,0,0,0,0,8.77,0,269.920000,57.580000,0,0.000000,7.480000,0,30.710000,73.590000,8.400000,0

4,00:45-01:00,19.24,8.4,0,0,8.91,19.24,0.000000,0,259.690000,7.2,0.000000,29.450000,23.200000,0,26.74,9.880000,100.530000,0,0,0,0,8.92,0,269.920000,57.580000,0,0.000000,7.480000,0,30.710000,73.590000,8.400000,0

5,01:00-01:15,21.4,8.4,0,0,9.05,21.4,0.000000,0,259.690000,7.2,0.000000,29.450000,23.200000,0,27.16,9.260000,100.530000,0,0,0,0,9.06,0,269.920000,57.580000,0,0.000000,7.290000,0,30.710000,73.590000,8.400000,0

6,01:15-01:30,37.34,12.84,0,0,13.34,37.34,0.000000,0,259.690000,7.2,0.000000,29.450000,23.200000,0,40.02,9.260000,100.530000,0,0,0,0,13.34,0,269.920000,57.580000,0,0.000000,7.290000,0,30.710000,73.590000,8.400000,0

7,01:30-01:45,38.3,12.9,0,0,13.52,38.3,0.000000,0,259.690000,7.2,0.000000,29.450000,25.360000,0,40.56,9.260000,100.530000,0,0,0,0,13.51,0,269.920000,57.580000,0,0.000000,7.290000,0,30.710000,73.590000,8.400000,0

8,01:45-02:00,39.96,13.23,0,0,13.77,39.96,0.000000,0,259.690000,7.53,0.000000,29.450000,25.360000,0,41.31,9.260000,100.530000,0,0,0,0,13.77,0,269.920000,57.580000,0,0.000000,7.290000,0,30.710000,73.590000,8.400000,0

9,02:00-02:15,40.53,13.58,0,0,14.01,40.53,0.000000,0,259.690000,8.19,0.000000,29.500000,25.360000,0,42.04,9.260000,100.530000,0,0,0,0,14.02,0,269.920000,57.580000,0,0.000000,7.100000,0,30.710000,73.590000,8.400000,0

10,02:15-02:30,40.26,13.73,0,0,14.27,40.26,0.000000,0,259.690000,8.63,0.000000,29.500000,25.360000,0,42.8,9.260000,100.530000,0,0,0,0,14.26,0,269.920000,57.580000,0,0.000000,7.100000,0,30.710000,73.590000,8.400000,0

11,02:30-02:45,65.22,14.17,0,0,21.61,65.22,0.000000,0,235.050000,8.74,0.000000,29.500000,25.360000,0,64.82,7.720000,100.530000,0,0,0,0,21.61,0,269.920000,57.580000,0,0.000000,7.100000,0,30.710000,64.490000,8.400000,0

12,02:45-03:00,64.88,14.58,0,0,21.89,64.88,0.000000,0,235.050000,8.71,0.000000,29.500000,25.360000,0,65.66,7.720000,100.530000,0,0,0,0,21.88,0,269.920000,57.580000,0,0.000000,7.100000,0,30.710000,64.490000,8.400000,0

13,03:00-03:15,63.88,19.22,0,0,22.4,63.88,0.000000,0,235.050000,9,0.000000,28.540000,25.900000,0,67.18,7.720000,100.530000,0,0,0,0,22.39,0,269.920000,61.810000,0,0.000000,6.970000,0,25.900000,64.490000,8.240000,0

14,03:15-03:30,62.88,19.55,0,0,23.13,62.88,0.000000,0,235.050000,8.25,0.000000,28.540000,25.900000,0,69.4,7.720000,100.530000,0,0,0,0,23.14,0,269.920000,65.860000,0,0.000000,6.970000,0,25.900000,64.490000,8.240000,0

15,03:30-03:45,62.55,20.22,0,0,23.81,62.55,0.000000,0,235.050000,8.01,0.000000,28.540000,25.900000,0,71.42,7.720000,100.530000,0,0,0,0,23.8,0,269.920000,70.290000,0,0.000000,6.970000,0,25.900000,64.490000,8.240000,0

16,03:45-04:00,61.88,21.22,0,0,24.53,61.88,0.000000,0,235.050000,7.71,0.000000,28.540000,25.900000,0,73.58,7.720000,100.530000,0,0,0,0,24.52,0,269.920000,70.290000,0,0.000000,6.970000,0,25.900000,64.490000,8.240000,0

17,04:00-04:15,60.55,21.55,0,0,25.27,60.55,0.000000,0,235.050000,7.4,0.000000,28.490000,25.900000,0,75.82,7.720000,100.530000,0,0,0,0,25.28,0,269.920000,74.520000,0,0.000000,6.830000,0,25.900000,64.490000,8.240000,0

18,04:15-04:30,59.88,21.77,0,0,25.81,59.88,0.000000,0,235.050000,7.4,0.000000,28.490000,25.900000,0,77.43,7.720000,100.530000,0,0,0,0,25.82,0,269.920000,74.520000,0,0.000000,6.830000,0,25.900000,64.490000,8.240000,0

19,04:30-04:45,66.98,27.22,0,0,26.85,66.98,0.000000,0,235.050000,7.4,0.000000,28.490000,25.900000,0,80.55,8.950000,100.530000,0,0,0,0,26.84,0,269.920000,78.090000,0,0.000000,6.830000,0,25.900000,64.490000,8.240000,0

20,04:45-05:00,67.3,27.55,0,0,27.38,67.3,0.000000,0,235.050000,7.4,0.000000,28.490000,25.900000,0,82.14,8.950000,100.530000,0,0,0,0,27.38,0,269.920000,82.800000,0,0.000000,6.830000,0,25.900000,64.490000,8.240000,0

21,05:00-05:15,66.96,27.88,0,0,28.46,66.96,0.000000,0,259.690000,7.4,0.000000,28.490000,25.900000,0,85.38,8.950000,100.530000,0,0,0,0,28.45,0,269.920000,86.560000,0,0.000000,6.690000,0,25.900000,73.590000,8.090000,0

22,05:15-05:30,67.3,28.22,0,0,28.35,67.3,0.000000,0,259.690000,7.4,0.000000,28.490000,25.900000,0,85.06,8.950000,100.530000,0,0,0,0,28.35,0,269.920000,91.270000,0,0.000000,6.690000,0,25.900000,73.590000,8.090000,0

23,05:30-05:45,66.34,28.51,0,0,28.47,66.34,0.000000,0,259.690000,7.4,0.000000,28.490000,25.900000,0,85.42,8.950000,100.530000,0,0,0,0,28.48,0,269.920000,91.270000,0,0.000000,6.690000,0,25.900000,73.590000,8.400000,0

24,05:45-06:00,65.83,28.88,0,0,30.35,65.83,0.000000,0,259.690000,7.4,0.000000,28.490000,24.490000,0,91.04,8.950000,100.530000,0,0,0,0,30.33,0,269.920000,91.270000,0,0.000000,6.690000,0,24.490000,73.590000,8.400000,0

25,06:00-06:15,64.71,29.22,1.45,0,29.84,64.71,0.000000,0,259.690000,7.4,0.000000,28.490000,24.490000,0,89.52,8.720000,100.530000,0,0,0.63323,0,29.84,0,269.920000,91.270000,0,0.000000,6.690000,3.55,24.490000,73.590000,8.240000,0

26,06:15-06:30,64.07,29.23,3,0,30.02,64.07,0.010000,0,259.690000,7.4,0.010000,29.500000,24.490000,0,90.07,8.720000,100.530000,0,0,5.630876,0,30.03,0.22,269.920000,91.270000,0,0.010000,6.690000,8.75,24.490000,73.590000,8.240000,0

27,06:30-06:45,64.02,30.93,8,1,31.87,64.02,0.120000,0.59,259.690000,7.4,0.120000,28.540000,24.490000,0,95.6,8.720000,100.530000,1,2,14.02848,0.28,31.86,0.62,269.920000,91.270000,1,0.120000,6.690000,15.49,24.490000,73.590000,8.240000,2.95

28,06:45-07:00,63.01,32.41,15,2,32.04,63.01,0.390000,1.27,259.690000,7.4,0.380000,28.540000,24.490000,15.3,96.11,8.720000,100.530000,4,5,22.426084,1.38,32.02,1.08,269.920000,91.270000,2,0.380000,6.690000,25.45,24.490000,73.590000,8.240000,6.33

