Time,Block,NR/2024/18383/C,NR/2024/18285/A/3434,NR/2023/18074/A/3291,NR/2023/18204/A/3313,WR/2023/20914/A/3433,NR/2024/18382/C,NR/2023/18183/A/3461,WR/2023/20937/A/3459,NR/2024/18379/C,NR/2024/18331/A/3460,Total
,,SJVNL,HPXL,ITCLH,IEXL,APPCPL,SJVNL,MANIKARAN,MANIKARAN,NVVNL,MANIKARAN,Total

,,UTTAR PRADESH,MP,ANDHRA PRADESH,ANDHRA PRADESH,DELHI,UTTAR PRADESH,DELHI,DELHI,NA,DELHI,
,,BCMLUH,MSPIL,ITCWIND,SNJSUGARLTDAP,BRPL,BCMLB001,BRPL,BRPL,SOLAPUR_SOLAR,BRPL,
,,DELHI,DELHI,DELHI,DELHI,GOA,DELHI,HIMACHAL PRADESH,GOA,DELHI,HIMACHAL PRADESH,
,,NDMC,NDMC,ITCLH,MES (Delhi),GOA_Beneficiary,NDMC,HP,GOA_Beneficiary,MES (Delhi),HP,
,,North-North,West-North,South-West-North,South-East-North,North-West,North-North,North-North,North-West,West-North,North-North,
1,00:00-00:15,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

2,00:15-00:30,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

3,00:30-00:45,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

4,00:45-01:00,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

5,01:00-01:15,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

6,01:15-01:30,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

7,01:30-01:45,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

8,01:45-02:00,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

9,02:00-02:15,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

10,02:15-02:30,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

11,02:30-02:45,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

12,02:45-03:00,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

13,03:00-03:15,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

14,03:15-03:30,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

15,03:30-03:45,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

16,03:45-04:00,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

17,04:00-04:15,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

18,04:15-04:30,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

19,04:30-04:45,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

20,04:45-05:00,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.76

21,05:00-05:15,0.000000,9.610000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.81

22,05:15-05:30,0.000000,9.610000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.81

23,05:30-05:45,0.000000,9.610000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.81

24,05:45-06:00,0.000000,9.610000,0.430000,5.770000,0.000000,0.000000,0.000000,0.000000,0,0.000000,15.81

25,06:00-06:15,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,158.480000,0.000000,0,0.000000,174.24

26,06:15-06:30,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,158.480000,0.000000,0,0.000000,174.24

27,06:30-06:45,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,158.480000,0.000000,0,0.000000,174.24

28,06:45-07:00,0.000000,9.610000,0.380000,5.770000,0.000000,0.000000,158.480000,0.000000,0,0.000000,174.24

29,07:00-07:15,0.000000,9.610000,0.530000,5.770000,0.000000,0.000000,158.480000,0.000000,0,0.000000,174.39

30,07:15-07:30,0.000000,9.610000,0.530000,5.770000,0.000000,0.000000,158.480000,0.000000,0.16,0.000000,174.55

31,07:30-07:45,0.000000,9.610000,0.530000,5.770000,0.000000,0.000000,158.480000,0.000000,0.4,0.000000,174.79

32,07:45:08:00,0.000000,9.610000,0.530000,5.770000,0.000000,0.000000,158.480000,0.000000,0.71,0.000000,175.1

33,08:00-08:15,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,158.480000,0.000000,1.11,0.000000,175.84

34,08:15-08:30,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,158.480000,0.000000,1.53,0.000000,176.26

35,08:30-08:45,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,158.480000,0.000000,1.98,0.000000,176.71

36,08:45:09:00,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,158.480000,0.000000,2.11,0.000000,176.84

37,09:00:09:15,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,2.69,158.480000,177.42

38,09:15-09:30,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,3.36,158.480000,178.09

39,09:30-09:45,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,3.7,158.480000,178.43

40,09:45-10:00,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,4.04,158.480000,178.77

41,10:00-10:15,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,4.42,158.480000,179.15

42,10:15-10:30,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,4.81,158.480000,179.54

43,10:30-10:45,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,5,158.480000,179.73

44,10:45-11:00,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,5.14,158.480000,179.87

45,11:00-11:15,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,5.57,158.480000,180.3

46,11:15-11:30,0.000000,9.610000,0.870000,5.770000,0.000000,0.000000,0.000000,0.000000,5.96,158.480000,180.69

47,11:30-11:45,3.360000,9.610000,0.870000,5.770000,0.000000,3.840000,0.000000,0.000000,5.96,158.480000,187.89

48,11:45-12:00,3.360000,9.610000,0.870000,5.770000,0.000000,3.840000,0.000000,0.000000,5.96,158.480000,187.89

49,12:00-12:15,3.360000,9.610000,0.870000,5.770000,0.000000,3.840000,0.000000,0.000000,6.06,158.480000,187.99

50,12:15-12:30,3.360000,9.610000,0.870000,5.770000,0.000000,3.840000,0.000000,0.000000,6.15,158.480000,188.08

51,12:30-12:45,3.360000,9.610000,0.870000,5.770000,0.000000,3.840000,0.000000,0.000000,6.54,158.480000,188.47

52,12:45-13:00,3.360000,9.610000,0.870000,5.770000,0.000000,3.840000,0.000000,0.000000,6.63,158.480000,188.56

53,13:00-13:15,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,6.73,158.480000,188.56

54,13:15-13:30,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,6.63,158.480000,188.46

55,13:30-13:45,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,6.44,158.480000,188.27

56,13:45-14:00,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,6.34,158.480000,188.17

57,14:00-14:15,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,6.15,158.480000,187.98

58,14:15-14:30,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,5.77,158.480000,187.6

59,14:30-14:45,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,5.57,158.480000,187.4

60,14:45-15:00,3.360000,9.610000,0.770000,5.770000,0.000000,3.840000,0.000000,0.000000,5.29,158.480000,187.12

61,15:00-15:15,3.360000,9.610000,0.670000,5.770000,0.000000,3.840000,0.000000,0.000000,4.81,158.480000,186.54

62,15:15-15:30,3.360000,9.610000,0.670000,5.770000,0.000000,3.840000,0.000000,0.000000,4.61,158.480000,186.34

63,15:30-15:45,3.360000,9.610000,0.670000,5.770000,0.000000,3.840000,0.000000,0.000000,4.33,158.480000,186.06

64,15:45-16:00,3.360000,9.610000,0.670000,5.770000,0.000000,3.840000,0.000000,0.000000,3.84,158.480000,185.57

65,16:00-16:15,3.360000,9.610000,0.480000,5.770000,0.000000,3.840000,0.000000,0.000000,3.65,158.480000,185.19

66,16:15-16:30,3.360000,9.610000,0.480000,5.770000,0.000000,3.840000,0.000000,0.000000,2.4,158.480000,183.94

67,16:30-16:45,0.000000,9.610000,0.480000,5.770000,0.000000,0.000000,0.000000,0.000000,1.78,158.480000,176.12

68,16:45-17:00,0.000000,9.610000,0.480000,5.770000,0.000000,0.000000,0.000000,0.000000,1.36,158.480000,175.7

69,17:00-17:15,0.000000,9.610000,0.480000,5.770000,0.000000,0.000000,0.000000,0.000000,0.95,158.480000,175.29
