Block,Time,RAPPC,RIHAND3,RIHAND2,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,UNCHAHAR4,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SINGRAULI,TANDA2,UNCHAHAR2,SEWA2,DADRT2,NJPC,DULHASTI,KOLDAM,CHAMERA3,DHAULIGNGA,NAPP,KISHANGANGA,CHAMERA2,JHAJJAR,KOTESHWR,SALAL,RAPPB,TANAKPUR,URI,CHAMERA1,BSIUL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,KGSU1AND2,NTPL,MAPS,KGSU3AND4,KKNP,KKNPPU2,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,SASAN
1,00:00-00:15,69.669668,130.580717,124.384996,0,0.86244,97.055943,22.630299,3.094586,0.779669,10.35857,35.154834,27.638981,149.98895,5.534073,22.453313,18.800617,688.415947,22.286372,39.450269,1.873698,23.197435,0,51.476056,5.560434,48.499828,552.443799,9.222505,52.29,0,0,34.776,26.86,19.5624,0,99.122758,0,0,0,80.92284,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,148.302375,34.79931,0,20,342

2,00:15-00:30,69.669668,130.580717,124.384996,0,0.86244,97.055943,22.630299,3.094586,0.779669,10.35857,35.154834,27.638981,149.98895,5.534073,22.453313,18.800617,688.415947,22.286372,39.450269,1.873698,23.197435,0,51.476056,5.560434,48.499828,552.443799,9.222505,52.29,0,0,34.776,26.86,19.5624,0,99.122758,0,0,0,80.92284,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,148.302375,34.79931,0,20,342

3,00:30-00:45,69.669668,130.580717,124.384996,0,0.86244,97.055943,22.630299,3.094586,0.779669,0,35.154834,27.638981,149.98895,5.534073,22.453313,18.800617,688.415947,22.286372,39.450269,0,23.197435,0,51.476056,5.560434,48.499828,552.443799,9.222505,52.29,0,0,34.776,26.86,19.5624,0,99.122758,0,0,0,80.92284,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,148.302375,34.79931,0,20,342

4,00:45-01:00,69.669668,130.580717,124.384996,0,0.86244,97.055943,22.630299,3.094586,0.779669,0,35.154834,27.638981,149.98895,5.534073,22.453313,18.800617,688.415947,22.286372,39.450269,0,23.197435,0,51.476056,5.560434,48.499828,552.443799,9.222505,52.29,0,0,34.776,26.86,19.5624,0,99.122758,0,0,0,80.92284,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,148.302375,34.79931,0,20,342

5,01:00-01:15,69.669668,130.580717,124.384996,0,0.86244,97.055943,22.630299,3.094586,0.779669,0,35.154834,27.638981,149.98895,5.534073,22.453313,18.800617,688.415947,22.286372,39.450269,0,23.197435,0,51.476056,5.560434,48.499828,552.443799,9.222505,52.29,0,0,34.776,26.86,19.5624,0,99.122758,0,0,0,81.056596,0,0,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.300737,148.302375,34.79931,0,20,270

