Time,Block,NR/2023/17227/C,NR/2023/17251/C,NR/2023/17246/C,NR/2023/16191/A,NR/2023/16073/A,NR/2023/17245/C,NR/2023/13253/A,NR/2023/13165/A,NR/2023/17239/C,NR/2023/13254/A,NR/2023/13387/A,NR/2023/13385/A,NR/2023/17225/C,NR/2023/13148/A,NR/2023/17233/C,NR/2023/16993/F,NR/2023/17254/C,NR/2023/16185/A,NR/2023/16291/F,NR/2023/17244/C,NR/2023/16077/A,NR/2023/17257/C,NR/2023/13150/A,NR/2023/13383/A,NR/2023/17226/C,NR/2023/15770/A,NR/2023/17221/D,NR/2023/17248/C,Total
,,SJVNL,PXIL,IEXL,MANIKARAN,APPCPL,HPXL,APPCPL,GMRETL,HPXL,APPCPL,NVVNL,NVVNL,GBHHPL,KEIPL,TPDDL,NVVNL,IEXL,MANIKARAN,ITCLH,IEXL,APPCPL,IEXL,KEIPL,APPCPL,SJVNL,NVVNL,NVVNL,SJVNL,Total

,,UTTAR PRADESH,PUNJAB,NA,HIMACHAL PRADESH,GOA,NA,UTTARAKHAND,MEGHALAYA,NA,MEGHALAYA,NA,MP,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,Gujarat,HIMACHAL PRADESH,ANDHRA PRADESH,NA,HIMACHAL PRADESH,WEST BENGAL,MEGHALAYA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,NA,NA,
,,BCMLB001,PUNJAB,Teesta_III,HP,GOA_Beneficiary,KWHEP,UTTARAKHAND,Meghalaya_Ben,RKM_POWER,Meghalaya_Ben,JPNIGRIE_JNSTPP,JP BINA,GBHHPL,Meghalaya_Ben,CHANJUII,KAMENG,SUGEN_GUVNL,HP,ITCWIND,RKM_POWER,HP,WBSEDCL,Meghalaya_Ben,HP,Arunachal_Ben,SKS Raigarh,SOLAPUR_SOLAR,RSRPL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,BYPL,BRPL,BRPL,DIAPL,BYPL,TPDDL,TPDDL,BYPL,BRPL,ITCLH,BRPL,BRPL,BYPL,BYPL,BYPL,NDMC,NDMC,MES (Delhi),NDMC,
,,North-North,North-North,East-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,North East-East-North,West-North,West-North,North-North,North East-East-North,North-North,North East-East-North,West-East-North,North-North,South-West-North,West-East-North,North-North,East-North,North East-East-North,North-North,North East-East-North,West-North,West-North,North-North,
1,00:00-00:15,0.000000,0.000000,345.490000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.990000,157.500000,0.000000,38.390000,0.860000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1431.09

2,00:15-00:30,0.000000,0.000000,306.140000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.990000,157.500000,0.000000,38.390000,0.860000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1391.74

3,00:30-00:45,0.000000,0.000000,255.280000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.990000,157.500000,0.000000,38.390000,0.860000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1340.88

4,00:45-01:00,0.000000,0.000000,232.250000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.990000,157.500000,0.000000,38.390000,0.860000,191.940000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1317.85

5,01:00-01:15,0.000000,0.000000,225.530000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.890000,150.280000,0.000000,38.390000,0.620000,143.960000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1255.59

6,01:15-01:30,0.000000,0.000000,191.940000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.890000,150.280000,0.000000,38.390000,0.620000,143.960000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1222

7,01:30-01:45,0.000000,0.000000,161.230000,77.740000,23.990000,11.520000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.890000,97.260000,0.000000,38.390000,0.620000,143.960000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1138.27

8,01:45-02:00,0.000000,0.000000,131.480000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,36.210000,9.890000,97.260000,0.000000,38.390000,0.620000,143.960000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1097

9,02:00-02:15,0.000000,0.000000,247.600000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,36.210000,9.800000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1075.27

10,02:15-02:30,0.000000,0.000000,229.370000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,36.210000,9.800000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1057.04

11,02:30-02:45,0.000000,0.000000,199.620000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,36.210000,9.800000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1027.29

12,02:45-03:00,0.000000,0.000000,173.710000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,36.210000,9.800000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,1001.38

13,03:00-03:15,0.000000,0.000000,95.970000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.710000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,886.32

14,03:15-03:30,0.000000,0.000000,71.020000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.710000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,861.37

15,03:30-03:45,0.000000,0.000000,67.180000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.710000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,857.53

16,03:45-04:00,0.000000,0.000000,28.790000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.710000,104.470000,0.000000,38.390000,0.620000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,819.14

17,04:00-04:15,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.620000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.24

18,04:15-04:30,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.620000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.24

19,04:30-04:45,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.620000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.24

20,04:45-05:00,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.620000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.24

21,05:00-05:15,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.530000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.15

22,05:15-05:30,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.530000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.15

