Column1,Block,NR/2025/26335/A/69445,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/69369,NR/2025/26197/A/69858,NR/2025/26289/A/69813,NR/2025/26557/C,NR/2025/26336/A/69446,NR/2025/26265/A/69814,NR/2025/26153/A/69370,NR/2025/26554/C,NR/2025/26291/A/69812,NR/2025/26202/A/69856,NR/2025/26555/C,NR/2025/26191/A/69272,NR/2025/26519/C,NR/2025/26002/A/69795,NR/2025/25858/A/69800,NR/2025/26520/C,NR/2025/25855/A/69801,NR/2025/26233/A/69815,NR/2025/26521/C,NR/2025/26101/A/69484,NR/2025/26199/A/69854,NR/2025/26523/C,SR/2025/16987/C,NR/2025/26286/A/69417,NR/2025/26518/C,NR/2025/26576/C,NR/2025/26085/A/69371,NR/2025/26577/C,NR/2025/26578/C,NR/2025/26198/A/69857,NR/2025/26312/A/69367,NR/2025/26517/C,NR/2025/26200/A/69852,NR/2025/26201/A/69850,NR/2025/26232/A/69816,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/9320,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,Total
,,BRPL,SECI_Trader,IEXL,APPCPL,HPXL,NVVNL,BRPL,HPXL,IEXL,NVVNL,HPXL,NVVNL,NVVNL,PXIL,HPXL,PowerPulse,PowerPulse,HPXL,PowerPulse,HPXL,HPXL,GMRETL,APPCPL,IEXL,HPXL,DIAPL,HPXL,APPCPL,ITCLH,APPCPL,APPCPL,APPCPL,IEXL,HPXL,APPCPL,APPCPL,HPXL,PowerPulse,PXIL,HPXL,IEXL,PowerPulse,BAWANA_GAS,PXIL,PowerPulse,PUNJAB,DELHI,HPXL,HPXL,NDMC,PXIL,IEXL,PXIL,PowerPulse,PXIL,PXIL,
,,NA,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,NA,MP_State,NA,NA,NA,MP_State,NA,NA,GEB_State,NA,GEB_State,GEB_State,HIMACHAL_STATE,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,CSEB_State,MSEB_State,ODISHA_STATE,NA,DELHI_UT,ODISHA_STATE,NA,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,ODISHA_STATE,JK_and_LADAKH_UT,Meghalaya_State,NA,UTTARPRADESH_STATE,NA,
,,TS1PL_BKN,APSEPL_FTG,TPSL_BKN2,SKS_Raigarh,SIMHAPURI,JPNIGRIE_JNSTPP,DADRT2,JPL,SURYADEV_ALLOYSTN,SORANG_HEP,Ultratech_Sidhi_MP,JPNIGRIE_JNSTPP,Kameng,JPNIGRIE_JNSTPP,Ultratech_Sidhi_MP,COASTGEN,APL_Raipur_TPP,PCBL_PALEJ,APL_Raipur_TPP,PCBL_MUNDRA,PCBL_MUNDRA,GBHHPL,JPL2,MBMP,BYPL,GBHHPL,SIMHAPURI,JPL2,ITCWIND,TRN_ENERGY,RKM_POWER,RKM_POWER,MBMP,JPL,TRN_ENERGY,RKM_POWER,PCBL_PALEJ,COASTGEN,SKSIPL,GRETAENERGY,VSL,APL_Raipur_TPP,BAWANA_GAS,FACORPOWER,COASTGEN,BAWANA_GAS,CHANJUII,KGEPL_HP,JPL,JIPL,FACORPOWER,O2ZTPL,Meghalaya_Ben,MAHAN_ENERGEN,LAPL_UP,SINGOLI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPDDL,MES_Delhi,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,TPDDL,NDMC,NDMC,TANGEDCO,DIAPL,BRPL,NDMC,ITCLH,NDMC,NDMC,NDMC,NDMC,BRPL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,PUNJAB,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,West-North,North East-East-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-West-South,North-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-East-North,West-North,West-North,East-North,West-North,North-North,East-North,South-East-North,North-North,North-North,North-North,West-North,East-North,East-North,North-North,North East-East-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.8999999999999

2,00:15-00:30,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.8999999999999

