Block,Time,DHAULIGNGA,JHAJJAR,KGSU3AND4,KISHANGANGA,KOTESHWR,NLCIIST2,NLCTS2EXP,RIHAND2,RSTPSU1TO6,SIMHST1,SINGRAULI,TelanganaSTPP,ANTA_GF,TALST2,TANDA2,UNCHAHAR2,ANTA_CRF,DADRI_CRF,DADRI_LF,KGSU1AND2,KKNPPU2,RIHAND1,TANAKPUR,UNCHAHAR1,AURY_LF,AURY_RF,CHAMERA2,SASAN,SINGRAULI_HYDRO,UNCHAHAR3,ANTA_RF,BRBCL,CHAMERA1,KHSTPP-I,KHSTPP-II,NLCIIST1,VALLURNTECL,CHAMERA3,DADRT2,FSTPP I & II,KOLDAM,NAPP,RAPPC,RSTPSU7,TEHRI,URI,AURY_CRF,AURY_GF,BSIUL,MAPS,NJPC,PARBATI3,RAPPB,RIHAND3,SALAL,SEWA2,TALA,DULHASTI,KKNP,KUDGI,NLCEXP,NNTPP,NTPL,RAMPUR,SIMHST2,UNCHAHAR4,URI2,ANTA_LF,DADRI_GF,DADRI_RF
1,00:00-00:15,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.52,0,0,0,1.42,43.71,0,0,0,0,0,46.02,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,42.15,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,44.71,0,0,6.52,0,167.1,21.08,0,124.4,83.67,17.37,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

2,00:15-00:30,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.52,0,0,0,1.42,43.71,0,0,0,0,0,46.02,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,42.15,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,44.71,0,0,6.52,0,167.1,21.08,0,124.4,83.67,17.37,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

3,00:30-00:45,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,44.71,0,0,6.52,0,167.1,21.08,0,124.4,83.67,17.37,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

4,00:45-01:00,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,50.23,0,0,6.52,0,167.1,21.08,0,124.4,83.67,17.37,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

5,01:00-01:15,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,50.23,0,0,6.52,0,167.1,21.08,0,124.4,83.67,11.58,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

6,01:15-01:30,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,50.23,0,0,6.52,0,167.1,21.08,0,124.4,83.67,11.58,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

7,01:30-01:45,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,50.23,0,0,6.52,0,167.1,21.08,0,124.4,52.28,11.58,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

8,01:45-02:00,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,44.71,0,0,6.52,0,167.1,21.08,0,124.4,52.28,11.58,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

9,02:00-02:15,40.2,608.81,0,1.44,38.64,0,0,118.81,0,0,136.58,0,0,0,1.42,43.71,0,0,0,0,0,46.03,13,20.96,0,78.06,28.34,230.62,0,0,48.26,20.01,28.1,44.92,98.87,0,0,21.37,686.07,20.8,4.01,45.7,60.38,0,76.9,44.71,0,0,6.52,0,167.1,21.08,0,124.4,52.28,11.58,10,53.79,0,0,0,0,0,3.54,0,1.62,36.35,0,0,101.31

