Column1,Block,NR/2025/32534/A/94594,NR/2025/32599/A/94564,NR/2025/32534/A/94595,NR/2025/32532/A/94592,NR/2025/32535/A/94597,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/94593,NR/2025/32535/A/94685,NR/2025/32653/A/94631,NR/2025/33017/C,NR/2025/32652/A/94633,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,NR/2025/32929/C,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,NR/2025/32968/C,GNA/NR/2025/08/01/2414,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/2025/32559/A/94704,NR/2025/32598/A/94675,NR/2025/31421/A/94650,NR/2025/32992/C,NR/2025/32973/C,NR/2025/33005/C,NR/2025/32974/C,NR/2025/31046/A/94637,NR/2025/29440/A/94471,NR/2025/32556/A/94705,NR/2025/33006/C,NR/2025/31047/A/94639,NR/2025/32397/A/94153,NR/2025/32455/A/94615,NR/2025/32554/A/94617,NR/2025/32994/C,NR/2025/32004/A/94708,NR/2025/32996/C,NR/2025/33012/C,NR/2025/32610/A/94703,NR/2025/31041/A/94634,NR/2025/32262/A/94211,NR/2025/33012/C/Alternate/1,NR/2025/29992/A/94359,NR/2025/31042/A/94636,NR/2025/32375/A/94647,NR/2025/32987/C,NR/2025/32702/A/94278,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,NR/2025/32857/A/94624,Total
,,OIDLWM2_AEROCITY,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,MES_Delhi,GMRETL,APPCPL,MANIKARAN,MANIKARAN,BYPL,NDMC,NDMC,PowerPulse,DELHI,APPCPL,PowerPulse,MANIKARAN,BAWANA_GAS,NVVNL,PUNJAB,APPCPL,PTC,NVVNL,APPCPL,PowerPulse,NVVNL,PowerPulse,PowerPulse,ITCLH,APPCPL,NVVNL,PowerPulse,IEXL,MANIKARAN,PowerPulse,APPCPL,APPCPL,APPCPL,NVVNL,APPCPL,PowerPulse,TPTCL,NVVNL,BYPL,PowerPulse,NVVNL,APPCPL,DIAPL,MANIKARAN,NDMC,GMRETL,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,NA,MSEB_State,KERALA_State,NA,NA,MSEB_State,HIMACHAL_STATE,GOA_State,NA,NA,DELHI_UT,NA,DELHI_UT,NA,GoHP_NJPC_STATE,NA,NA,NA,MP_State,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,MSEB_State,NA,KERALA_State,NA,MP_State,MSEB_State,HIMACHAL_STATE,MP_State,NA,NA,
,,TESPL_BKN2,TS1PL_BKN,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,NTPCREL_PSS2_KPS2_S,JGCPL_BKN2,GOA_Beneficiary,MBMP,AEML,KSEB,SKS_Raigarh,JIPL,Vidarbha_Industry_MH,CHANJUII,GOA_Beneficiary,APL_Raipur_TPP,DBPL,BAWANA_GAS,JHABUA_IPP,BAWANA_GAS,RKM_POWER,GoHP_NJPC,JPNIGRIE_JNSTPP,RKM_POWER,MAHAN_ENERGEN,JP_BINA,APL_Raigarh_TPP,APL_Raigarh_TPP,ITCWIND,JPL2,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,A_A_Energy_MH_Bio,MBMP,APL_Raipur_TPP,JPL2,AEML,RKM_POWER,Kameng,RKM_POWER,MAHAN_ENERGEN,TPC_MSEB,Kameng,KSEB,MAHAN_ENERGEN,JP_BINA,AEML,GBHHPL,BLAPOWER_MP,TRN_ENERGY,JGCPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,OIDLWM2_AEROCITY,BRPL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,TPDDL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,DTCP,MES_Delhi,BLKMH,BRPL,BRPL,BRPL,BYPL,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,BRPL,HARYANA,BRPL,PUNJAB,NDMC,BRPL,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,TPDDL,ITCLH,NDMC,TPDDL,TPDDL,MES_Delhi,BRPL,BRPL,NDMC,BYPL,NDMC,TPDDL,NDMC,TPDDL,BYPL,TPDDL,BYPL,TPDDL,TPDDL,BYPL,DIAPL,BRPL,NDMC,MAX_HPTL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,East-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,North East-East-West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,18.65,19.2,0,40.79,26.54,20.4,32,26.17,81.58,47.99,0,0,0,0,95.98,0.86,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1440.67

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,18.65,19.2,0,40.79,26.54,20.4,32,26.17,81.58,47.99,0,0,0,0,95.98,0.86,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1440.67

