Column1,Block,NR/2024/24225/A/47334,NR/2024/24554/C,NR/2024/24071/A/47107,NR/2024/24224/A/47332,NR/2024/24227/A/47340,NR/2024/24555/C,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,NR/2024/24556/C,NR/2024/24557/C,NR/2024/23952/A/47078,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NER/2024/2770/A/47314,GNA/WR/2024/10/15/7089,NR/2024/24088/A/47102,GNA/WR/2024/11/01/4200,NR/2024/24052/A/47109,NR/2024/24060/A/47321,NR/2024/24051/A/47111,GNA/NR/2024/12/01/2197,NR/30092023/31122025/SH-07,NR/2024/24097/A/47099,WR/2024/25054/A/47320,GNA/NR/2024/12/01/1599,NR/2024/24146/A/47095,GNA/NR/2024/12/01/1475,Total
,,OIDLWM2_AEROCITY,SJVNL,IEXL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,SJVNL,KSEB,PTC,NDMC,NDMC,NDMC,SJVNL,SJVNL,ITCLH,PUNJAB,DELHI,APPCPL,APPCPL,IEXL,MANIKARAN,IEXL,NVVNL,IEXL,NDMC,BAWANA_GAS,IEXL,APPCPL,PTC,IEXL,NDMC,
,,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,TELANGANA_State,NA,TELANGANA_State,NA,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,MP_State,NA,
,,TESPL_BKN2,TPSL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,RSRPL_BKN,BYPL,BYPL,TRN_ENERGY,SKS_Raigarh,RKM_POWER,RENUKASUGARSHAVALGA,RENUKASUGARSATHANI,ITCWIND,BAWANA_GAS,CHANJUII,BYPL,BYPL,NSLSTUNGBHDRA,BRPL,NSLKSLWPRTY,JITPL,NSLKSLWPRTY,RKM_POWER,BAWANA_GAS,NSLSUGARALAND,BRPL,BRPL,NSPLN_MP,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,Manipur_State,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,GOA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,OIDLWM2_AEROCITY,NDMC,MES_Delhi,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,NDMC,KSEB,HP,NDMC,NDMC,NDMC,NDMC,NDMC,ITCLH,PUNJAB,TPDDL,Manipur_Ben,AEML,MES_Delhi,AEML,MES_Delhi,NDMC,MES_Delhi,NDMC,HARYANA,MES_Delhi,GOA_Beneficiary,HP,MES_Delhi,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-West-South,North-North,West-North,West-North,West-North,South-West-North,South-West-North,South-West-North,North-North,North-North,North-East-North East,North-West,South-West-North,North-West,South-West-North,East-North,South-West-North,West-North,North-North,South-West-North,North-West,North-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.10999999999996

2,00:15-00:30,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.10999999999996

3,00:30-00:45,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.10999999999996

4,00:45-01:00,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.10999999999996

5,01:00-01:15,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

6,01:15-01:30,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

7,01:30-01:45,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

8,01:45-02:00,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

9,02:00-02:15,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

10,02:15-02:30,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

11,02:30-02:45,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

12,02:45-03:00,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.38,0,1.65,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.05999999999995

