Column1,Time,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6528,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/6775,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3945,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3514,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/02/1250,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/8738,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,0,23.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.22,25.94,19.22,1.57,64.01,20.18,28.82,48.04,26.9,48.04,95.43,0,74.71,0,25.74,48.04,0,52.84,0,29.34,10,29.33,15,0,0,0,0,15,45,0,0,0,0,0,0,0,0

2,00:15-00:30,0,23.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.22,25.94,19.22,1.57,64.01,20.18,28.82,48.04,26.9,48.04,95.43,0,74.71,0,25.74,48.04,0,52.84,0,27,9.33,27,14.67,0,0,0,0,14.67,43.99,0,0,0,0,0,0,0,0

3,00:30-00:45,0,22.81,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.22,25.94,19.22,1.57,64.01,20.18,28.82,48.04,26.9,48.04,95.43,0,74.71,0,26.24,48.04,0,52.84,0,24.66,9.33,24.67,14.17,0,0,0,0,14.17,42.49,0,0,0,0,0,0,0,0

4,00:45-01:00,0,22.81,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.22,25.94,19.22,1.57,64.01,20.18,28.82,48.04,26.9,48.04,95.43,0,74.71,0,26.24,48.04,0,52.84,0,22.66,9,22.67,13.67,0,0,0,0,13.67,40.99,0,0,0,0,0,0,0,0

5,01:00-01:15,0,21.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,26.24,48.04,0,52.84,0,35,8.67,35,13,0,0,0,0,13,39,0,0,0,0,0,0,0,0

6,01:15-01:30,0,21.21,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,26.24,48.04,0,52.84,0,35,8.67,35,12.5,0,0,0,0,12.5,37.5,0,0,0,0,0,0,0,0

7,01:30-01:45,0,21.61,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,26.24,48.04,0,52.84,0,34.67,8.33,34.67,12.17,0,0,0,0,12.17,36.49,0,0,0,0,0,0,0,0

8,01:45-02:00,0,22.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,26.24,48.04,0,52.84,0,34.33,8,34.33,12,0,0,0,0,12,36,0,0,0,0,0,0,0,0

9,02:00-02:15,0,30.82,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.74,48.04,0,52.84,0,33.33,8,33.33,15,0,0,0,0,15,45,0,0,0,0,0,0,0,0

10,02:15-02:30,0,31.02,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.74,48.04,0,52.84,0,31.67,7.67,31.67,14.66,0,0,0,0,14.67,44,0,0,0,0,0,0,0,0

11,02:30-02:45,0,25.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.74,48.04,0,52.84,0,30,7.33,30,17.5,0,0,0,0,17.5,52.5,0,0,0,0,0,0,0,0

12,02:45-03:00,0,25.61,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.57,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.74,48.04,0,52.84,0,28.67,7,28.67,17,0,0,0,0,17,51,0,0,0,0,0,0,0,0

