Column1,Time,GNA/NR/2025/05/01/9252,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/8954,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/2474,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9395,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6957,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9320,GNA/NR/2025/04/01/8456,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/9154,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/7902,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/4138,GNA/NR/2025/04/01/8964,NR/30092023/31122025/SH-07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,13.51,0,5.79,87.07,0,272.94,17.55,30.27,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,57.91,123.08,5,28.96,3.75,32,4.29,261.21,10.99,0,4.05,32,0,0,0,0,0,0,0,0,0,8.33,25.01,0,0,0,0,8.33,20,20,7.4,2.67

2,00:15-00:30,13.51,0,5.79,87.07,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,57.91,123.08,5,28.96,3.75,32,4.29,261.21,10.99,0,4.05,32,0,0,0,0,0,0,0,0,0,8,24,0,0,0,0,8,19.34,19.33,7.4,2.67

3,00:30-00:45,13.51,0,5.79,87.07,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,57.91,123.08,5,28.96,3.75,32,4.29,261.21,10.99,0,4.05,32,0,0,0,0,0,0,0,0,0,7.67,22.99,0,0,0,0,7.67,18.34,18.33,7.6,2.67

4,00:45-01:00,13.51,0,5.79,87.07,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,57.91,123.08,5,28.96,3.75,32,4.29,261.21,10.99,0,4.05,32,0,0,0,0,0,0,0,0,0,7.5,22.5,0,0,0,0,7.5,17.66,17.67,7.8,2.67

5,01:00-01:15,13.51,0,5.79,87.07,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,57.91,123.08,5,28.96,3.75,32,4.29,261.21,10.9,0,4.05,32,0,0,0,0,0,0,0,0,0,7.17,21.49,0,0,0,0,7.17,16.66,16.67,7,2.67

6,01:15-01:30,13.51,0,5.79,87.07,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,57.91,123.08,5,28.96,3.75,32,4.29,261.21,10.9,0,4.05,32,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,7,16,16,7,2.67

7,01:30-01:45,13.51,0,5.79,87.07,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,33.12,123.08,5,28.96,3.75,32,4.29,261.21,10.9,0,4.05,32,0,0,0,0,0,0,0,0,0,6.83,20.51,0,0,0,0,6.83,15,15,7,2.67

8,01:45-02:00,13.51,0,5.79,74.84,0,272.94,17.55,30.78,0,0,0,14.48,10.62,14.48,28.96,7.76,67.57,0,164.1,100.56,164.1,10.19,33.12,123.08,5,28.96,3.75,32,4.29,261.21,10.9,0,4.05,32,0,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,0,6.67,13.34,13.33,7,2.67

9,02:00-02:15,13.51,0,0,74.84,0,272.94,17.55,30.27,0,0,0,14.48,10.62,0,28.96,7.76,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.29,261.21,10.81,0,4.05,26.93,0,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,0,6.67,25,25,7,6.67

10,02:15-02:30,13.51,0,0,74.84,0,272.94,17.55,30.27,0,0,0,14.48,10.62,0,28.96,7.76,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.29,261.21,10.81,0,4.05,26.93,0,0,0,0,0,0,0,0,0,6.67,19.99,0,0,0,0,6.67,24.34,24.33,7,6.67

11,02:30-02:45,13.51,0,0,74.84,0,272.94,17.55,30.27,0,0,0,14.48,10.62,0,28.96,7.76,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.29,224.83,10.81,0,4.05,26.93,0,0,0,0,0,0,0,0,0,13.33,40.01,0,0,0,0,13.33,33.34,33.33,7,13.33

12,02:45-03:00,13.51,0,0,74.84,0,250.98,17.55,30.27,0,0,0,14.48,10.62,0,28.96,7.76,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.29,224.83,10.81,0,4.05,26.93,0,0,0,0,0,0,0,0,0,13.83,41.51,0,0,0,0,13.83,34,34,7,12.67

13,03:00-03:15,13.51,0,0,51.07,0,231.67,17.55,30.27,0,0,0,14.48,10.62,0,28.96,6.34,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.12,164.76,10.63,0,4.05,26.93,0,0,0,0,0,0,0,0,0,14.17,42.49,0,0,0,0,14.17,28.34,28.33,7,11.67

14,03:15-03:30,13.51,0,0,51.07,0,211.4,17.55,30.27,0,0,0,14.48,10.62,0,28.96,6.34,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.12,164.76,10.63,0,4.05,26.93,0,0,0,0,0,0,0,0,0,14.5,43.5,0,0,0,0,14.5,27.66,27.67,7,11

15,03:30-03:45,13.51,0,0,51.07,0,231.67,17.55,30.27,0,0,0,14.48,10.62,0,28.96,6.34,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.12,164.76,10.63,0,4.05,26.93,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,10,26.66,26.67,7,6.67

16,03:45-04:00,13.51,0,0,51.07,0,250.98,17.55,30.27,0,0,0,14.48,10.62,0,28.96,6.34,0,96.53,164.1,100.56,164.1,10.19,33.12,123.08,4.77,0,3.65,26.93,4.12,164.76,10.63,0,4.05,26.93,0,0,0,0,0,0,0,0,0,9.67,28.99,0,0,0,0,9.67,26,26,7,6.67

17,04:00-04:15,13.51,0,0,51.07,0,272.94,17.55,30.27,0,0,0,14.48,10.62,0,28.96,6.34,0,96.53,164.1,100.56,164.1,8.45,33.12,123.08,4.46,0,3.51,26.93,4.12,164.76,11.27,0,4.05,26.93,0,0,0,0,0,0,0,0,0,9.17,27.49,0,0,0,0,9.17,25,25,7,6.67

18,04:15-04:30,13.51,0,0,51.07,0,272.94,17.55,30.27,0,0,0,14.48,10.62,0,28.96,6.34,0,96.53,164.1,100.56,164.1,8.45,33.12,123.08,4.46,0,3.51,26.93,4.12,164.76,11.27,0,4.05,26.93,0,0,0,0,0,0,0,0,0,8.83,26.51,0,0,0,0,8.83,24.34,24.33,7,6.67

