Block,Time Block,KGSU1AND2,KHSTPP-I,KGSU3AND4,VALLURNTECL,ANTA_CRF,ANTA_RF,UNCHAHAR3,URI2,ANTA_LF,UNCHAHAR2,URI,ANTA_GF,AURY_CRF,UNCHAHAR1,AURY_GF,UNCHAHAR4,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,RIHAND2,NLCIIST1,NJPC,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NAPP,NTPL,PARBATI3,RIHAND3,RAPPB,NLCEXP,SASAN,TALST2,SINGRAULI_HYDRO,TANAKPUR,SIMHST1,RSTPSU1TO6,TelanganaSTPP,SIMHST2,TALA,RSTPSU7,SINGRAULI,TEHRI,SALAL,SEWA2,TANDA2,KUDGI,MAPS,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-II,CHAMERA3,DADRT2,DHAULIGNGA,DULHASTI,FSTPP I & II,JHAJJAR,BSIUL,CHAMERA2,BRBCL,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,21.27,0,0,0,0,14.23,4.13,0,22.47,2.12,0,0,5.97,0,0,0,0,0,0,0,0,113.76,0,0,0,88.14,0,0,0,25.77,42.35,0,0,119.1,0,0,277.22,0,0,1.1,0,0,0,0,0,0,93.29,0,7.79,0,0,0,0,8.51,0,0,0,0,109.46,0,360.35,0,15.79,13.3,344.76,0,0,19.16,0,0,0,0,0,0

2,00:15-00:30,0,21.27,0,0,0,0,14.23,4.13,0,22.47,2.12,0,0,5.97,0,0,0,0,0,0,0,0,113.76,0,19.96,0,88.14,0,0,0,25.77,42.35,0,0,119.1,0,0,287.99,0,0,1.1,0,0,0,0,0,0,93.29,0,7.79,0,0,0,0,8.51,0,0,0,0,94.55,0,360.35,0,15.79,13.3,344.76,0,0,19.16,0,0,0,0,0,0

3,00:30-00:45,0,21.27,0,0,0,0,14.23,4.13,0,22.47,2.12,0,0,5.97,0,0,0,0,0,0,0,0,113.76,0,19.96,0,88.14,0,0,0,25.77,42.35,0,0,119.1,0,0,298.77,0,0,1.1,0,0,0,0,0,0,93.29,0,7.79,0,0,0,0,8.51,0,0,0,0,94.55,0,360.35,0,15.79,13.3,344.76,0,0,19.16,0,0,0,0,0,0

4,00:45-01:00,0,21.27,0,0,0,0,14.23,4.13,0,22.47,2.12,0,0,5.97,0,0,0,0,0,0,0,0,113.76,0,19.96,0,88.14,0,0,0,25.77,42.35,0,0,119.1,0,0,309.55,0,0,1.1,0,0,0,0,0,0,93.29,0,7.79,0,0,0,0,8.51,0,0,0,0,94.55,0,360.35,0,15.79,13.3,344.76,0,0,18.04,0,0,0,0,0,0

5,01:00-01:15,0,21.27,0,0,0,0,14.23,4.13,0,22.47,3.17,0,0,5.97,0,0,0,0,0,0,0,0,113.76,0,19.96,0,88.14,0,0,0,25.77,42.35,0,0,119.1,0,0,320.33,0,0,1.1,0,0,0,0,0,0,93.29,0,7.79,0,0,0,0,8.51,0,0,0,0,94.55,0,360.35,0,15.79,11.11,344.76,0,0,14.55,0,0,0,0,0,0

