Block,Time,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,SR/14022024/29022024/SJVN140224NR1518,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/01102023/30042040/GNA_LT_35,NR/01022024/15022024/HP-44,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01022024/15022024/HP-35,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01022024/15022024/HP-37,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/30092023/31122025/SH-07,NR/15022024/15022024/HPX-TAMCTG-140224-06195,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01022024/15022024/HP-39,NR/01102023/19072037/LT-05,NR/01022024/29022024/79,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31032024/ ChanjuII,NR/01102023/05012040/L_NR_2020_02,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,0,21.66,50,0,65,27.66,0,0,0,0,50,0,13.34,21.67,0,0,0,0,0,0,0,0,0,0.000000,8.090000,53.910000,0.690000,18.950000,6.740000,5.780000,11.550000,0.000000,152.550000,6.740000,25.220000,0.000000,18.290000,0.000000,47.170000,0.000000,8.180000,96.260000,0.990000,179.040000,231.020000,1.560000,1.340000,4.810000,0.000000,0.000000,25.220000,33.690000,23.100000

2,00:15-00:30,0,0,21.5,48.33,0,64.5,27.26,0,0,0,0,48.33,0,12.66,21.5,0,0,0,0,0,0,0,0,0,0.000000,8.090000,53.910000,0.690000,18.950000,6.740000,5.780000,11.550000,0.000000,152.550000,6.740000,25.220000,0.000000,18.290000,0.000000,33.020000,0.000000,8.180000,96.260000,0.990000,176.820000,270.730000,1.560000,1.340000,4.810000,0.000000,0.000000,25.220000,52.630000,23.100000

3,00:30-00:45,0,0,20.84,47.33,0,62.5,26.26,0,0,0,0,47.33,0,12.34,20.83,0,0,0,0,0,0,0,0,0,0.000000,8.090000,53.910000,0.690000,18.950000,6.740000,5.780000,11.550000,0.000000,152.550000,6.740000,25.220000,0.000000,18.290000,0.000000,33.020000,0.000000,8.180000,96.260000,0.990000,140.540000,231.020000,1.560000,1.340000,4.810000,0.000000,0.000000,25.220000,33.690000,23.100000

4,00:45-01:00,0,0,20,45,0,60,25.46,0,0,0,0,45,0,11.66,20,0,0,0,0,0,0,0,0,0,0.000000,8.090000,53.910000,0.690000,18.950000,6.740000,5.780000,11.550000,0.000000,152.550000,6.740000,25.220000,0.000000,18.290000,0.000000,33.020000,0.000000,8.180000,96.260000,0.990000,111.660000,192.520000,1.560000,1.340000,4.810000,0.000000,0.000000,25.220000,33.690000,23.100000

5,01:00-01:15,0,0,19.84,44,0,59.5,33.07,0,0,0,0,44,0,11.34,19.83,0,0,0,0,0,0,0,0,0,0.000000,8.090000,53.910000,0.690000,18.950000,6.740000,5.780000,11.550000,0.000000,152.550000,6.740000,25.220000,0.000000,18.290000,0.000000,33.020000,0.000000,8.180000,96.260000,0.950000,111.660000,148.890000,1.560000,1.340000,4.810000,0.000000,0.000000,25.220000,33.690000,23.100000

