Column1,Block,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,WR/2025/26499/A/60118,WR/2025/26426/A/59855,NR/2025/25159/A/59761,WR/2025/26427/A/59856,GNA/WR/2025/01/01/9606,WR/2025/26582/A/60116,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/25516/A/59908,NR/2025/25518/A/59922,NR/2025/25517/A/59916,NR/2025/25725/C,GNARE/NR/2024/12/20/3668,NR/2025/25726/C,Total
,,NDMC,NDMC,NDMC,PTC,TPTCL,APPCPL,KEIPL,ITCLH,KEIPL,APPCPL,APPCPL,BAWANA_GAS,APPCPL,NDMC,APPCPL,NDMC,NDMC,PTC,PUNJAB,DELHI,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,SJVNL,SECI_Trader,SJVNL,
,,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,
,,SKS_Raigarh,RKM_POWER,RKM_POWER,BRPL,BYPL,BRPL,BYPL,ITCWIND,BRPL,BYPL,BRPL,BAWANA_GAS,BYPL,JIPL,BRPL,JPL2,TRN_ENERGY,BYPL,BAWANA_GAS,CHANJUII,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,APSEPL_FTG,RSRPL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,MSEB_State,MSEB_State,CSEB_State,DELHI_UT,CSEB_State,MSEB_State,CSEB_State,HARYANA_STATE,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,HP,TPC_MSEB,AEML,CSEB_Beneficiary,ITCLH,CSEB_Beneficiary,AEML,CSEB_Beneficiary,HARYANA,KSEB,NDMC,AEML,NDMC,NDMC,HP,PUNJAB,TPDDL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,NDMC,TPDDL,NDMC,
,,West-North,West-North,West-North,North-North,North-West,North-West,North-West,South-West-North,North-West,North-West,North-West,North-North,North-West-South,East-North,North-West,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,0,200,17.35,42,23.41,6.75,79.27,32,6.09,0,0,0,0,0,0,916.9999999999999

2,00:15-00:30,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,0,200,17.35,42,23.41,6.75,79.27,32,6.09,0,0,0,0,0,0,916.9999999999999

3,00:30-00:45,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,0,200,17.35,42,23.41,6.75,79.27,32,6.09,0,0,0,0,0,0,916.9999999999999

4,00:45-01:00,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,0,200,17.35,42,23.41,6.75,79.27,32,6.09,0,0,0,0,0,0,916.9999999999999

5,01:00-01:15,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,0,200,17.35,42,23.41,6.75,79.27,32,5.99,0,0,0,0,0,0,916.8999999999999

6,01:15-01:30,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,0,200,17.35,42,23.41,6.75,79.27,32,5.99,0,0,0,0,0,0,916.8999999999999

7,01:30-01:45,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,32,200,17.35,42,23.41,6.75,79.27,25.87,5.99,0,0,0,0,0,0,942.7699999999999

8,01:45-02:00,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,32,200,17.35,42,23.41,6.75,79.27,25.87,5.99,0,0,0,0,0,0,942.7699999999999

9,02:00-02:15,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,32,0,17.35,42,23.41,6.75,79.27,25.87,5.99,0,0,0,0,0,0,742.7699999999999

10,02:15-02:30,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

11,02:30-02:45,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

12,02:45-03:00,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

13,03:00-03:15,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

14,03:15-03:30,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

15,03:30-03:45,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

16,03:45-04:00,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

