Block,Time,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2022_09,NR/01102023/19072037/LT-05,NR/08122023/15122023/HP-19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/14122023/14122023/HPX-TAMCTG-131223-05382,NR/01102023/13082046/L_NR_2021_12,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/15082037/GNA_NR_2012_01,NR/01122023/15122023/HP-15,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/31032046/L_NR_2020_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI
1,00:00-00:15,148.120000,0,0,1.750000,95.760000,15,0,0,0.000000,15,34.910000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,55.180000,0,0,100.300000,57.030000,16.33,0,5.84,5,23.940000,17.5,0,0,0,0,1.220000,0.000000,177.120000,25.800000,0.000000

2,00:15-00:30,148.120000,0,0,1.750000,95.760000,14.99,0,0,0.000000,14.99,34.910000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,16.01,0,5.84,5,23.940000,17.5,0,0,0,0,1.220000,0.000000,177.120000,25.800000,0.000000

3,00:30-00:45,148.120000,0,0,1.750000,95.760000,14.88,0,0,0.000000,14.88,43.360000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,24.46,0,5.84,5,23.940000,17.5,0,0,0,0,1.220000,0.000000,155.830000,25.800000,0.000000

4,00:45-01:00,148.120000,0,0,1.750000,95.760000,14.66,0,0,0.000000,14.66,47.580000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,24.68,0,5.84,5,22.980000,17.5,0,0,0,0,1.220000,0.000000,139.550000,25.800000,0.000000

5,01:00-01:15,148.120000,0,0,1.750000,95.760000,14.51,0,0,0.000000,14.51,51.810000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,24.86,0,5.84,5,22.980000,17.5,0,0,0,0,1.220000,0.000000,140.510000,25.800000,0.000000

6,01:15-01:30,148.120000,0,0,1.750000,95.760000,14.33,0,0,0.000000,14.33,56.030000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,24.94,0,5.84,5,23.940000,17.5,0,0,0,0,1.220000,0.000000,117.530000,25.800000,0.000000

7,01:30-01:45,148.120000,0,0,1.750000,95.760000,14.18,0,0,0.000000,14.18,60.250000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,25.01,0,5.84,5,23.940000,17.5,0,0,0,0,1.220000,0.000000,117.530000,25.800000,0.000000

8,01:45-02:00,148.120000,0,0,1.750000,95.760000,13.99,0,0,0.000000,13.99,64.480000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,24.77,0,5.84,5,23.940000,17.5,0,0,0,0,1.220000,0.000000,117.530000,25.800000,0.000000

9,02:00-02:15,148.120000,0,0,1.750000,95.760000,13.84,0,0,0.000000,13.84,68.700000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,20.73,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

10,02:15-02:30,148.120000,0,0,1.750000,95.760000,13.67,0,0,0.000000,13.67,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,20.43,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

11,02:30-02:45,148.120000,0,0,1.750000,95.760000,13.67,0,0,0.000000,13.67,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,18.22,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

12,02:45-03:00,148.120000,0,0,1.750000,95.760000,13.67,0,0,0.000000,13.67,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.080000,31.600000,0,0,100.300000,57.030000,18.1,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

13,03:00-03:15,148.120000,0,0,1.750000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,20.41,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

14,03:15-03:30,148.120000,0,0,1.750000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,20.08,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

15,03:30-03:45,148.120000,0,0,1.750000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,19.98,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,117.530000,25.800000,0.000000

16,03:45-04:00,148.120000,0,0,1.750000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,19.8,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,122.310000,25.800000,0.000000

17,04:00-04:15,148.120000,0,0,1.700000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,19.78,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,130.930000,25.800000,0.000000

18,04:15-04:30,148.120000,0,0,1.700000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,19.8,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,139.550000,25.800000,0.000000

19,04:30-04:45,148.120000,0,0,1.700000,95.760000,13.33,0,0,0.000000,13.33,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,16.85,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,164.450000,25.800000,0.000000

20,04:45-05:00,148.120000,0,0,1.700000,95.760000,13.47,0,0,0.000000,13.47,69.820000,127.340000,5.83,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,31.600000,0,0,100.300000,57.030000,16.91,0,5.84,5,22.980000,17.5,0,0,0,0,1.180000,0.000000,177.120000,25.800000,0.000000

21,05:00-05:15,148.120000,0,0,1.700000,95.760000,13.9,0,0,0.000000,13.9,69.820000,127.340000,5.88,0.000000,25.800000,47.88,0,0,0.000000,0,1.120000,55.180000,0,0,100.300000,57.030000,16.96,0,5.87,5,22.980000,17.63,0,0,0,0,1.140000,0.000000,177.120000,25.800000,0.000000

