Time,Block,NR/2024/19282/C,NR/2024/18855/A/13602,NR/2024/19265/C,NR/2024/19024/A/13758,NR/2024/19043/A/13535,NR/2024/19266/C,NR/2024/18919/A/14013,NR/2024/19275/C,NR/2024/18986/A/13520,NR/2024/18977/A/13476,NR/2024/19280/C,NR/2024/19273/C,NR/2024/19298/C,NR/2024/18934/A/13488,NR/2024/19075/A/13514,NR/2024/18996/A/13978,NR/2024/18978/A/13475,NR/2024/19263/C,SR/2024/12929/C,NR/2024/19172/A/14135,NR/2024/18935/A/13487,NR/2024/19030/A/13540,NR/2024/19288/C,NR/2024/19143/A/13521,NR/2024/19115/A/13565,NR/2024/19289/C,NR/2024/19278/C,NR/2024/19121/A/13600,NR/2024/19274/C,NR/2024/18976/A/13477,NR/2024/18936/A/13486,NR/2024/19248/C,NR/2024/19281/C,Total
,,HPXL,GMRETL,NVVNL,DIAPL,IEXL,NVVNL,APPCPL,HPXL,ITCLH,PXIL,HPXL,IEXL,IEXL,PXIL,IEXL,PTC,PXIL,TPDDL,HPXL,TPDDL,PXIL,IEXL,HPXL,IEXL,IEXL,HPXL,HPXL,GMRETL,IEXL,PXIL,PXIL,DIAPL,HPXL,Total

,,HIMACHAL PRADESH,RAJASTHAN,NA,HIMACHAL PRADESH,NA,NA,NAGALAND,HIMACHAL PRADESH,ANDHRA PRADESH,NA,HIMACHAL PRADESH,NA,DELHI,TAMIL NADU,ODISHA,MAHARASHTRA,TAMIL NADU,NA,DELHI,NA,TAMIL NADU,NA,HIMACHAL PRADESH,DELHI,MAHARASHTRA,DELHI,NA,RAJASTHAN,DVC,ODISHA,TAMIL NADU,HIMACHAL PRADESH,ANDHRA PRADESH,
,,GBHHPL,RUVNL,SOLAPUR_SOLAR,GBHHPL,MBMP,KAMENG,Nagaland_Ben,GHPPL_HP,ITCWIND,MEENAKSHI,GSHEPL_HP,JPL-2,BYPL,SAKTHISUGRAR_TN,VSL,JPL_DHULE,BIRLACARBONTN,JHAJJAR,BYPL,JHAJJAR,SAKTHISUGARS_ELMTN,JHABUA_IPP,GTHEPL_HP,EDWPCL12,SWPL,BRPL,SORANG_HEP,RUVNL,DVC,FACORPOWER,SAKTHISUGARSLTD,GBHHPL,TADASWIND,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,MES (Delhi),DIAPL,BRPL,TPDDL,BYPL,BYPL,ITCLH,BRPL,BYPL,TPDDL,UPPCL,BRPL,BRPL,BRPL,BRPL,TPDDL,TANGEDCO,TPDDL,BRPL,BRPL,BYPL,UPPCL,BRPL,UPPCL,BYPL,BYPL,BYPL,BRPL,BRPL,DIAPL,BYPL,
,,North-North,North-North,West-North,North-North,West-East-North,North East-East-North,North East-East-North,North-North,South-West-North,South-West-North,North-North,West-East-North,North-North,South-West-North,East-North,West-North,South-West-North,North-North,North-East-South,North-North,South-West-North,West-East-North,North-North,North-North,West-East-North,North-North,North-North,North-North,East-North,East-West-North,South-West-North,North-North,South-East-North,
1,00:00-00:15,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.530000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,16.450000,564.07

2,00:15-00:30,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.530000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,14.990000,562.61
