Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,GNA/NR/2025/03/01/2563,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/SR/2025/03/01/7500,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/5143,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/1906,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/6891,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,GNA/WR/2025/03/01/6406,NR/01102023/31052040/LT-31,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,NR/01102023/06022042/L_NR_2012_02,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,0,0,15,0,7.33,7,7,15,21,6,23.02,271.21,17.27,5.76,8.63,200,32,0.93,27.25,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,69.95,0,42,0,0,23.02,0,225.34,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,15,0,7.33,7,7,15,21,6,23.02,271.21,17.27,5.76,8.63,200,32,0.93,27.25,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,69.95,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,15,0,7.33,7,7,15,21,6,23.02,271.21,17.27,5.76,8.63,200,32,0.93,27.25,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,15,0,7.33,7,7,15,21,6,23.02,271.21,17.27,5.76,8.63,200,32,0.93,27.25,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,15,0,7.33,7,7,15,21,6,23.02,271.21,17.27,5.76,8.63,200,32,0.93,27.25,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,14.66,0,7.33,7,7,14.67,21,6,23.02,271.21,17.27,5.76,8.63,200,32,0.93,27.25,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,14.34,0,7.33,7,7,14.33,21,6,23.02,271.21,17.27,5.76,8.63,200,26.99,0.93,26.24,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,14,0,7.33,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,200,26.99,0.93,26.24,190.26,0,1.26,22.06,32,0.92,0,86.52,4.22,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,14,0,7.33,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.26,22.06,26.99,0.92,0,74.37,4.13,63.42,65.82,0,42,0,0,23.02,0,229.16,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,14,0,7.33,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.26,22.06,26.99,0.92,0,74.37,4.13,63.42,65.82,0,42,0,0,23.02,0,229.16,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,14,0,7.33,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.26,22.06,26.99,0.92,0,63.43,4.13,63.42,65.82,0,42,0,0,23.02,0,194.94,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,14,0,7,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.26,22.06,26.99,0.92,0,63.43,4.13,63.42,65.82,0,42,0,0,23.02,0,194.94,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,14,0,6.67,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.21,22.06,26.99,0.92,0,63.9,4.13,63.42,65.82,0,42,0,0,23.02,0,194.94,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,14,0,6.67,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.21,22.06,26.99,0.92,0,63.9,4.13,63.42,65.82,0,42,0,0,23.02,0,194.94,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,0,14,0,6.67,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.21,22.06,26.99,0.92,0,74.37,4.13,63.42,65.82,0,42,0,0,23.02,0,229.16,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,0,14,0,6.67,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.21,22.06,26.99,0.92,0,86.52,4.13,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,0,14,0,6.67,7,7,14,21,6,23.02,271.21,17.27,5.76,8.63,0,26.99,0.93,26.24,190.26,0,1.21,22.06,26.99,0.92,0,86.52,4.04,63.42,65.82,0,42,0,0,23.02,0,259.56,0,0,0,0,0,0,0,0,0,0

