Block,Time Block,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,FSTPP I & II,DHAULIGNGA,DULHASTI,DADRT2,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPC,RAPPB,RAMPUR,RIHAND1,RIHAND2,RAPPD,RIHAND3,SASAN,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TALA,TALST2,TANAKPUR,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,UNCHAHAR4,URI2,URI,VALLURNTECL,ANTA_GF,ANTA_CRF,ANTA_LF,ANTA_RF,AURY_RF,AURY_GF,AURY_CRF,AURY_LF,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.23,40.72,6.3,47.16,22.54,16.93,21.14,56.7,4.98,321.35,0,0,38.62,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,42.25,32.67,66.24,0,6.23,27.99,88.81,26.12,84.51,399.97,0,0,81.38,12.18,0,1.15,0,139.24,21.3,0,9.16,38.15,0,3.05,16.42,21.66,34.9,1.85,36.81,49.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,16.04,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,250.81,0,0,44.28,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,42.25,32.67,66.24,0,6.23,27.99,88.81,26.12,84.51,399.97,0,0,81.38,6.09,0,1.15,0,139.27,21.3,0,9.16,38.15,0,3.05,16.42,21.66,34.9,1.77,36.81,49.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,15.38,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,141.52,0,0,44.28,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,42.25,32.67,66.24,0,6.23,27.99,88.81,26.12,84.51,399.97,0,0,81.38,6.09,0,1.15,0,139.27,21.3,0,9.16,38.15,0,3.05,16.42,21.66,34.9,1.77,36.81,49.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,13.9,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,105.3,0,0,44.28,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,42.25,32.67,66.24,0,6.23,27.99,88.81,26.12,84.51,399.97,0,0,81.38,6.09,0,1.15,0,139.27,21.3,0,9.16,38.15,0,3.05,16.42,21.66,34.9,1.77,36.81,49.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,12.36,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,105.3,0,0,44.28,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,6.09,0,1.15,0,139.27,13.81,0,3.59,38.15,0,3.05,16.42,21.66,34.9,1.77,36.81,49.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

